MonsterID	MonsterName	MonsterNameJP	Rarity	AttributeOne	MaxLevel	NumOfAwokenSkills
57	Samurai Goblin	武者ゴブリン	2	1	30	0	
58	Blue Goblin	ブルーゴブリン	1	2	10	0	
59	Marine Goblin	マリンゴブリン	2	2	30	0	
60	Goblin	ゴブリン	1	3	10	0	
61	Hobgoblin	ホブゴブリン	2	3	30	0	
62	Red Ogre	レッドオーガ	2	1	15	0	
63	Samurai Ogre	サムライオーガ	3	1	50	2	
64	Blue Ogre	ブルーオーガ	2	2	15	0	
65	Ice Ogre	アイスオーガ	3	2	50	2	
66	Ogre	オーガ	2	3	15	0	
67	Armor Ogre	アーマーオーガ	3	3	50	2	
68	Flame Fighter	フレイムファイター	2	1	15	0	
69	Flame Knight	フレイムナイト	3	1	50	0	
70	Aqua Fighter	アクアファイター	2	2	15	0	
71	Aqua Knight	アクアナイト	3	2	50	0	
72	Earth Fighter	アースファイター	2	3	15	0	
73	Earth Knight	アースナイト	3	3	50	0	
74	White Fighter	ホワイトファイター	2	4	15	0	
75	White Knight	ホワイトナイト	3	4	50	0	
76	Black Fighter	ブラックファイター	2	5	15	0	
77	Black Knight	ブラックナイト	3	5	50	0	
78	Flame Golem	フレイムゴーレム	3	1	25	0	
79	Flame Guardian	フレイムガーディアン	4	1	70	0	
80	Ice Golem	アイスゴーレム	3	2	25	0	
81	Ice Guardian	アイスガーディアン	4	2	70	0	
82	Earth Golem	アースゴーレム	3	3	25	0	
83	Earth Guardian	アースガーディアン	4	3	70	0	
84	Machine Golem	マシンゴーレム	3	4	25	0	
85	Machine Golem Mk.II	マシンゴーレムMk-II	4	4	70	0	
86	Dark Golem	ダークゴーレム	3	5	25	0	
87	Dark Golem Mk.II	ダークゴーレムMk-II	4	5	70	0	
88	Naga	ナーガ	3	1	25	0	
89	Echidna	エキドナ	4	1	70	0	
90	Mermaid	マーメイド	3	2	25	0	
91	Siren	セイレーン	4	2	70	0	
92	Dryad	ドリヤード	3	3	25	0	
93	Mandrake	アルラウネ	4	3	70	0	
94	Cupid	キューピッド	3	4	25	0	
95	Angel	エンジェル	4	4	70	0	
96	Succubus	サキュバス	3	5	25	0	
97	Lilith	リリス	4	5	70	0	
98	Mystic Flame Knight	炎の魔剣士	3	1	25	0	
99	Phoenix Knight	フェニックスナイト	4	1	70	0	
100	Mystic Ice Knight	氷の魔剣士	3	2	25	0	
101	Fenrir Knight	フェンリルナイト	4	2	70	0	
102	Mystic Stone Knight	岩の魔剣士	3	3	25	0	
103	Dragon Knight	ドラゴンナイト	4	3	70	0	
104	Mystic Light Knight	光の魔剣士	3	4	25	0	
105	Verche	ヴァーチェ	4	4	70	0	
106	Titan	タイタン	3	1	25	0	
107	Gigas	ギガンテス	4	1	70	0	
108	Mystic Dark Knight	闇の魔剣士	3	5	25	0	
109	Dark Dragon Knight	ダークドラゴンナイト	4	5	70	0	
110	Vampire	ヴァンパイア	3	5	25	0	
111	Vampire Lord	ヴァンパイアロード	4	5	70	0	
112	Salamander	サラマンダー	4	1	35	0	
113	Ifrit	イフリート	5	1	99	3	
114	Sea Serpent	シーサーペント	4	2	35	0	
115	Leviathan	リヴァイアサン	5	2	99	3	
116	Dragonette	ドラゴネット	4	3	35	0	
117	Fafnir	ファフニール	5	3	99	3	
118	Ivory Dragon	白龍	4	4	35	0	
119	Divinegon	神龍	5	4	99	3	
120	Basilisk	バジリスク	4	5	35	0	
121	Tiamat	ティアマット	5	5	99	3	
122	Minerva	ミネルヴァ	5	1	50	0	
123	War Deity Minerva	戦女神・ミネルヴァ	6	1	99	4	
124	Neptune	ネプチューン	5	2	50	0	
125	Sea Deity Neptune	海王神・ネプチューン	6	2	99	4	
126	Ceres	セレス	5	3	50	0	
127	Fertility Deity Ceres	豊穣神・セレス	6	3	99	4	
128	Venus	ヴィーナス	5	4	50	0	
129	Love Deity Venus	慈愛神・ヴィーナス	6	4	99	4	
130	Hades	ハーデス	5	5	50	0	
131	Underlord Hades	冥界神・ハーデス	6	5	99	4	
132	Kagutsuchi	カグツチ	5	1	50	0	
133	Hino Kagutsuchi	ヒノカグツチ	6	1	99	4	
134	Viper Orochi	オロチ	5	2	50	0	
135	Demon Viper Orochi	ヤマタノオロチ	6	2	99	4	
136	Susano	スサノオ	5	3	50	0	
137	Susano no Mikoto	スサノオノミコト	6	3	99	4	
138	Amaterasu	アマテラス	5	4	50	0	
139	Amaterasu Ohkami	アマテラスオオカミ	6	4	99	4	
140	Yomi	ヨミ	5	5	50	0	
141	Tsuku Yomi	ツクヨミ	6	5	99	4	
142	Flamedragon Muspelheim	炎龍・ムスプルヘイム	6	1	99	2	
143	Ice Dragon Niflheim	氷龍・ニブルヘイム	6	2	99	2	
144	Isle Dragon Yggdrasil	島龍・ユグドラシル	6	3	99	2	
145	Mechadragon Valhalla	機龍・ヴァルハラ	6	4	99	2	
146	Evil Dragon Helheim	邪龍・ヘルヘイム	6	5	99	2	
147	Keeper of Flame	炎の番人	4	1	1	0	
148	Keeper of Water	水の番人	4	2	1	0	
149	Keeper of Forest	森の番人	4	3	1	0	
150	Keeper of Light	光の番人	4	4	1	0	
151	Keeper of Dark	闇の番人	4	5	1	0	
152	Dragon Seed	ドラゴンシード	2	3	1	0	
153	Dragon Plant	ドラゴンプラント	3	3	1	0	
154	Dragon Flower	ドラゴンフラワー	4	3	1	0	
155	Rubylit	ルビリット	2	1	1	0	
156	Sapphilit	サファリット	2	2	1	0	
157	Emelit	エメリット	2	3	1	0	
158	Topalit	トパリット	2	4	1	0	
159	Amelit	アメリット	2	5	1	0	
160	Mythlit	ミスリット	5	5	1	0	
161	Red Evolution Mask	進化の赤仮面	1	1	1	0	
162	Blue Evolution Mask	進化の青仮面	1	2	1	0	
163	Green Evolution Mask	進化の緑仮面	1	3	1	0	
164	Yellow Evolution Mask	進化の黄仮面	1	4	1	0	
165	Purple Evolution Mask	進化の紫仮面	1	5	1	0	
166	Crimson Demon Mask	朱色の鬼神面	3	1	1	0	
167	Indigo Demon Mask	蒼色の鬼神面	3	2	1	0	
168	Azure Demon Mask	碧色の鬼神面	3	3	1	0	
169	Golden Demon Mask	黄金の鬼神面	3	4	1	0	
170	Violet Demon Mask	紫色の鬼神面	3	5	1	0	
171	Divine Carmine Mask	神化の紅面	5	1	1	0	
172	Divine Indigo Mask	神化の蒼面	5	2	1	0	
173	Divine Jade Mask	神化の碧面	5	3	1	0	
174	Divine Gold Mask	神化の金面	5	4	1	0	
175	Divine Onyx Mask	神化の黒面	5	5	1	0	
176	Metal Dragon	メタルドラゴン	3	5	1	0	
177	High Metal Dragon	ハイメタルドラゴン	4	5	1	0	
178	King Metal Dragon	キングメタルドラゴン	5	5	1	0	
179	Gold Dragon	ゴールドドラゴン	3	4	1	0	
180	High Gold Dragon	ハイゴールドドラゴン	4	4	1	0	
181	King Gold Dragon	キングゴールドドラゴン	5	4	1	0	
182	Poring	ポリン	3	1	1	0	
183	Marin	マーリン	3	2	1	0	
184	Poporing	ポポリン	3	3	1	0	
185	Drops	ドロップス	3	4	1	0	
186	Ghostring	ゴーストリング	3	5	1	0	
187	Zeus	ゼウス	6	4	50	0	
188	Awoken Zeus	覚醒ゼウス	7	4	99	3	
189	Hera	ヘラ	6	5	50	0	
190	Awoken Hera	覚醒ヘラ	7	5	99	3	
191	Pyro Devil	パイロデビル	2	1	15	0	
192	Pyro Demon	パイロデーモン	3	1	50	0	
193	Frost Devil	フロストデビル	2	2	15	0	
194	Frost Demon	フロストデーモン	3	2	50	0	
195	Taur Devil	タウロスデビル	2	3	15	0	
196	Taur Demon	タウロスデーモン	3	3	50	0	
197	Harpie Devil	ハーピィデビル	2	4	15	0	
198	Harpie Demon	ハーピィデーモン	3	4	50	0	
199	Blood Devil	ブラッドデビル	2	5	15	0	
200	Blood Demon	ブラッドデーモン	3	5	50	0	
201	Empress of Serpents, Echidna	紅蓮の女帝・エキドナ	5	1	99	3	
202	Enchantress of the Sea, Siren	大海の歌姫・セイレーン	5	2	99	3	
203	Mystical Forest Pixie, Alraune	大樹の精霊・アルラウネ	5	3	99	3	
204	Messenger of God, Archangel	天空の使徒・エンジェル	5	4	99	3	
205	Witch of the Night, Lilith	常夜の魔女・リリス	5	5	99	3	
206	Mars Light Carbuncle	マーズライトカーバンクル	4	1	70	2	
207	Mercury Light Carbuncle	マーキュライトカーバンクル	4	2	70	2	
208	Earth Light Carbuncle	アースライトカーバンクル	4	3	70	2	
209	Sunlight Carbuncle	サンライトカーバンクル	4	4	70	2	
210	Moonlight Carbuncle	ムーンライトカーバンクル	4	5	70	2	
211	Meteor Volcano Dragon	メテオボルケーノドラゴン	5	1	99	3	
212	Crystal Aurora Dragon	クリスタルオーロラドラゴン	5	2	99	3	
213	Graviton Earth Dragon	グラビトンアースドラゴン	5	3	99	3	
214	Lightning Holy Dragon	ライトニングホーリードラゴン	5	4	99	3	
215	Chaos Devil Dragon	カオスデビルドラゴン	5	5	99	3	
216	Red Skydragon, El Dorado	緋天龍・エルドラド	6	1	99	2	
217	Blue Skydragon, Nirai Kanai	蒼天龍・ニライカナイ	6	2	99	2	
218	Wood Skydragon, Horai	樹天龍・ホウライ	6	3	99	2	
219	Holy Skydragon, Shangri-La	聖天龍・シャングリラ	6	4	99	2	
220	Night Skydragon, Elysion	夜天龍・エリュシオン	6	5	99	2	
221	Berserk	ベルセルク	4	2	50	0	
222	Siegfried, the Blue Champion	蒼剣の覇王・ジークフリート	5	2	70	0	
223	Highlander	ハイランダー	4	3	50	0	
224	Cu Chulainn, the Green Lancer	碧槍の英雄・クーフーリン	5	3	70	0	
225	Valkyrie	ワルキューレ	4	4	50	0	
226	Great Valkyrie	白盾の女神・ヴァルキリー	5	4	70	0	
227	Dragon Fruit	ドラゴンフルーツ	5	3	1	0	
228	Mastering	マスターリング	5	1	99	2	
229	Phoenix Knight Homura	フェニックスナイト・ホムラ	5	1	99	3	
230	Fenrir Knight Kamui	フェンリルナイト・カムイ	5	2	99	3	
231	Ancient Dragon Knight	エンシェントドラゴンナイト	5	3	99	3	
232	Verche, the Knight of the Sky	天空の騎士・ヴァーチェ	5	4	99	3	
233	Chaos Dragon Knight	カオスドラゴンナイト	5	5	99	3	
234	Mystic Mask	神秘の仮面	5	4	1	0	
236	Shiva	シヴァ	5	1	50	0	
237	Shiva, the Destroyer	破壊神・シヴァ	6	1	99	4	
238	Lakshmi	ラクシュミー	5	2	50	0	
239	Fortune Deity Lakshmi	幸運の女神・ラクシュミー	6	2	99	4	
240	Parvati	パールヴァティー	5	3	50	0	
241	Parvati, the Golden Goddess	金色の女神・パールヴァティー	6	3	99	4	
242	Indra	インドラ	5	4	50	0	
243	Thunderdragon Indra	雷霆龍・インドラ	6	4	99	4	
244	Vritra	ヴリトラ	5	5	50	0	
245	Darkdragon Vritra	暗黒龍・ヴリトラ	6	5	99	4	
246	Dub-rubylit	ダブルビリット	5	1	1	0	
247	Dub-sapphilit	ダブサファリット	5	2	1	0	
248	Dub-emelit	ダブエメリット	5	3	1	0	
249	Dub-topalit	ダブトパリット	5	4	1	0	
250	Dub-amelit	ダブアメリット	5	5	1	0	
251	Dub-mythlit	ダブミスリット	6	5	1	0	
252	Ruby Dragon	ルビードラゴン	3	1	1	0	
253	High Ruby Dragon	ハイルビードラゴン	4	1	1	0	
254	King Ruby Dragon	キングルビードラゴン	5	1	1	0	
255	Sapphire Dragon	サファイアドラゴン	3	2	1	0	
256	High Sapphire Dragon	ハイサファイアドラゴン	4	2	1	0	
257	King Sapphire Dragon	キングサファイアドラゴン	5	2	1	0	
258	Emerald Dragon	エメラルドドラゴン	3	3	1	0	
259	High Emerald Dragon	ハイエメラルドドラゴン	4	3	1	0	
260	King Emerald Dragon	キングエメラルドドラゴン	5	3	1	0	
261	Super King Metal Dragon	超キングメタルドラゴン	6	5	1	0	
262	Flame Chimera	フレイムキメラ	3	1	25	0	
263	Magma Chimera	マグマキマイラ	4	1	70	0	
264	Bubble Chimera	バブルキメラ	3	2	25	0	
265	Deep Chimera	ディープキマイラ	4	2	70	0	
266	Leaf Chimera	リーフキメラ	3	3	25	0	
267	Flower Chimera	フラワーキマイラ	4	3	70	0	
268	Volt Chimera	ボルトキメラ	3	4	25	0	
269	Thunder Chimera	サンダーキマイラ	4	4	70	0	
270	Mist Chimera	ミストキメラ	3	5	25	0	
271	Fog Chimera	フォッグキマイラ	4	5	70	0	
272	Baby Match	ベビーマッチ	2	1	15	0	
273	Baby Match Plus	ベビーマッチプラス	3	1	50	2	
274	Devil Mermaid	アクマーメイド	2	2	15	0	
275	Devil Mermaid Plus	アクマーメイドプラス	3	2	50	2	
276	Buzz Cut Goblin	ごぶがりゴブリン	2	3	15	0	
277	Buzz Cut Goblin Plus	ごぶがりゴブリンプラス	3	3	50	2	
278	Note Reaper	音符のしにがみ	2	5	15	0	
279	Note Reaper Plus	音符のしにがみプラス	3	5	50	2	
280	Don-chan	どんちゃん	3	4	50	0	
281	Brave Don-chan	勇者どんちゃん	4	4	70	0	
282	Brave Don-chan Plus	勇者どんちゃんプラス	5	4	99	2	
283	Fire Mechdragon, Betelgeuse	砲炎機龍・ベテルギウス	6	1	99	2	
284	Ice Mechdragon, Aldebaran	氷砕機龍・アルデバラン	6	2	99	2	
285	Wind Mechdragon, Canopus	旋風機龍・カノープス	6	3	99	2	
286	Noble Mechdragon, Regulus	皇爪機龍・レグルス	6	4	99	2	
287	Annihilate Mechdragon, Hadar	殲滅機龍・ハダル	6	5	99	2	
288	Drall	ドラール	3	1	15	0	
289	Agdrall	アグドラール	4	1	35	0	
290	Flare Drall	フレアドラール	5	1	99	3	
291	Shardra	シャードラ	3	2	15	0	
292	Shardran	シャードラン	4	2	35	0	
293	Megalodran	メガロドラン	5	2	99	3	
294	Toytops	トイトプス	3	3	15	0	
295	Toyceratops	トイケラトプス	4	3	35	0	
296	Fortoytops	フォートトイトプス	5	3	99	3	
297	Fairlio	フェリオ	3	4	15	0	
298	Fairlion	フェアリオン	4	4	35	0	
299	Angelion	エンジェリオン	5	4	99	3	
300	Pierdra	ピエドラ	3	5	15	0	
301	Pierdrawn	ピエドラウン	4	5	35	0	
302	Drawn Joker	ドラウンジョーカー	5	5	99	3	
303	Fire Pengdra	ホノペンドラ	2	1	10	0	
304	Ruby Pengdra	ルビペンドラ	3	1	1	0	
305	Water Pengdra	ペンペンドラ	2	2	10	0	
306	Sapphire Pengdra	サファペンドラ	3	2	1	0	
307	Wood Pengdra	ジュペンドラ	2	3	10	0	
308	Emerald Pengdra	エメペンドラ	3	3	1	0	
309	Super King Gold Dragon	超キングゴールドドラゴン	6	4	1	0	
310	Ice Samurai Ogre	氷のサムライオーガ	4	1	50	2	
311	Wood Samurai Ogre	樹のサムライオーガ	4	1	50	2	
312	Blazing Ice Ogre	炎のアイスオーガ	4	2	50	2	
313	Wood Ice Ogre	樹のアイスオーガ	4	2	50	2	
314	Flame Armor Ogre	炎のアーマーオーガ	4	3	50	2	
315	Ice Armor Ogre	氷のアーマーオーガ	4	3	50	2	
316	Flame Mech Warrior, Jotunn	炎の機神兵・ヨトゥン	5	1	99	3	
317	Water Mech Warrior, Midgard	水の機神兵・ミズガルズ	5	2	99	3	
318	Wood Mech Warrior, Asgard	木の機神兵・アースガル	5	3	99	3	
319	Machine Golem Mk.III	マシンゴーレムMk-III	5	4	99	3	
320	Dark Golem Mk.III	ダークゴーレムMk-III	5	5	99	3	
321	Keeper of Rainbow	虹の番人	6	5	1	0	
322	Blue Flame Ifrit	蒼炎星・イフリート	6	1	99	3	
323	Green Flame Ifrit	碧炎星・イフリート	6	1	99	3	
324	Shining Flame Ifrit	輝炎星・イフリート	6	1	99	3	
325	Dark Flame Ifrit	黒炎星・イフリート	6	1	99	3	
326	Red Ice Leviathan	紅氷星・リヴァイアサン	6	2	99	3	
327	Green Ice Leviathan	碧氷星・リヴァイアサン	6	2	99	3	
328	Shining Ice Leviathan	輝氷星・リヴァイアサン	6	2	99	3	
329	Dark Ice Leviathan	黒氷星・リヴァイアサン	6	2	99	3	
330	Red Wood Fafnir	紅樹星・ファフニール	6	3	99	5	
331	Blue Wood Fafnir	蒼樹星・ファフニール	6	3	99	5	
332	Shining Wood Fafnir	輝樹星・ファフニール	6	3	99	5	
333	Dark Wood Fafnir	黒樹星・ファフニール	6	3	99	5	
334	Red Shining Divinegon	紅光星・神龍	6	4	99	3	
335	Blue Shining Divinegon	蒼光星・神龍	6	4	99	3	
336	Green Shining Divinegon	碧光星・神龍	6	4	99	3	
337	Dark Shining Divinegon	黒光星・神龍	6	4	99	3	
338	Blazing Dark Tiamat	紅闇星・ティアマット	6	5	99	3	
339	Flowing Dark Tiamat	蒼闇星・ティアマット	6	5	99	3	
340	Wooden Dark Tiamat	碧闇星・ティアマット	6	5	99	3	
341	Lightning Dark Tiamat	輝闇星・ティアマット	6	5	99	3	
342	ECO Salamander	ECO・サラマンダー	3	1	25	0	
343	ECO Salamander Alma	ECO・サラマンダー・アルマ	4	1	70	2	
344	ECO Pepen	ECO・ペペン	3	2	25	0	
345	ECO Pepen Alma	ECO・ペペン・アルマ	4	2	70	2	
346	ECO Shabo	ECO・シャボタン	3	3	25	0	
347	ECO Shabo Alma	ECO・シャボタン・アルマ	4	3	70	2	
348	ECO Baby Tiny	ECO・ベイビータイニー	3	4	25	0	
349	ECO Tiny	ECO・タイニー	4	4	70	0	
350	Formula	フォーミュラー	4	4	25	0	
351	Sacred Flame Dragon, Formula	炎聖騎龍・フォーミュラー	5	4	99	3	
352	Shaitan	シャイターン	4	1	35	0	
353	Shaitan, the Flame Elemental	怒りと炎の精霊・シャイターン	5	1	99	5	
354	Undine	ウンディーネ	4	2	35	0	
355	Undine, the Water Elemental	愛と水の精霊・ウンディーネ	5	2	99	5	
356	Sylph	シルフ	4	3	35	0	
357	Sylph, the Wind Elemental	自由と風の精霊・シルフ	5	3	99	5	
358	Genie	ジーニャ	4	4	35	0	
359	Genie, the Light Elemental	富と光の精霊・ジーニャ	5	4	99	5	
360	Thanatos	タナトス	4	5	35	0	
361	Thanatos, the Dark Elemental	死と闇の精霊・タナトス	5	5	99	5	
362	Odin	オーディン	5	3	50	0	
363	Awoken Odin	覚醒オーディン	6	3	99	5	
364	Odin, the War Deity	秘神・オーディン	6	2	50	0	
365	Awoken Deity Odin	覚醒秘神・オーディン	7	2	99	6	
368	Freyr	フレイ	5	1	50	0	
369	Freyr, the God of Victory	勝利の神・フレイ	6	1	99	4	
370	Idunn&Idunna	イズン＆イズーナ	5	2	50	0	
371	Idunn&Idunna, Twin Goddesses	双星の女神・イズン＆イズーナ	6	2	99	4	
372	Freyja	フレイヤ	5	3	50	0	
373	Freyja, the Goddess of Gaia	大地の女神・フレイヤ	6	3	99	4	
374	Thor	トール	5	4	50	0	
375	Thor, the God of Lightning	雷の戦神・トール	6	4	99	4	
376	Loki	ロキ	5	5	50	0	
377	Loki, the God of Guile	狡知の神・ロキ	6	5	99	4	
378	Dino Rider	ディノライダー	5	1	50	0	
379	Dino Rider Drake	ディノライダー・ドレーク	6	1	99	4	
380	Beast Rider	ビーストライダー	5	2	50	0	
381	Beast Rider Merlin	ビーストライダー・マーリン	6	2	99	4	
382	Marine Rider	マリンライダー	5	3	50	0	
383	Marine Rider Robin	マリンライダー・ロビン	6	3	99	4	
384	Dragon Rider	ドラゴンライダー	5	4	50	0	
385	Dragon Rider Arthur	ドラゴンライダー・アーサー	6	4	99	4	
386	Gryps Rider	グリプスライダー	5	5	50	0	
387	Gryps Rider Finn	グリプスライダー・フィン	6	5	99	4	
388	War Deity, Saint Minerva	戦女神・セイントミネルヴァ	7	1	99	6	
389	War Deity, Dark Minerva	戦女神・ダークミネルヴァ	7	1	99	6	
390	Sea Deity, Heaven Neptune	海王神・ヘブンズネプチューン	7	2	99	6	
391	Sea Deity, Abyss Neptune	海王神・アビスネプチューン	7	2	99	6	
392	Fertility Deity, Holy Ceres	豊穣神・ホーリーセレス	7	3	99	6	
393	Fertility Deity, Evil Ceres	豊穣神・イービルセレス	7	3	99	6	
394	Love Deity, Cosmos Venus	慈愛神・コスモスヴィーナス	7	4	99	6	
395	Love Deity, Chaos Venus	慈愛神・カオスヴィーナス	7	4	99	6	
396	Underlord Arch Hades	冥界神・アークハーデス	7	5	99	6	
397	Underlord Inferno Hades	冥界神・インフェルノハーデス	7	5	99	6	
398	Phoenix	フェニックス	4	1	35	0	
399	Phoenix Resurrected	転生の霊鳥・フェニックス	5	1	99	3	
400	Kraken	クラーケン	4	2	35	0	
401	Sea Devil Kraken	大洋の悪魔・クラーケン	5	2	99	3	
402	Griffin	グリフォン	4	3	35	0	
403	Griffin, the Hunter of Tempests	疾風の狩人・グリフォン	5	3	99	3	
404	Unicorn	ユニコーン	4	4	35	0	
405	Unicorn, the Guardian of Saints	聖女の守護獣・ユニコーン	5	4	99	3	
406	Cerberus	ケルベロス	4	5	35	0	
407	Cerberus, the Guardian of Hell	地獄の番犬・ケルベロス	5	5	99	3	
408	Infernodragon Muspelheim	究極炎龍・ムスプルヘイム	7	1	99	2	
409	Glacialdragon Niflheim	究極氷龍・ニブルヘイム	7	2	99	2	
410	Gaiadragon Yggdrasil	究極島龍・ユグドラシル	7	3	99	2	
411	Cyberdragon Valhalla	究極機龍・ヴァルハラ	7	4	99	2	
412	Viciousdragon Helheim	究極邪龍・ヘルヘイム	7	5	99	2	
413	Blue Flamedragon Muspelheim	蒼炎龍・ムスプルヘイム	6	2	99	2	
414	Mitsuki	ミツキ	4	1	15	0	
415	Fire Courier Mitsuki	火の案内人・ミツキ	5	1	50	0	
416	Mitsuki, the Flame Fox	焔尾の天狐・ミツキ	6	1	99	3	
417	Ruka	ルカ	4	2	15	0	
418	Water Courier Ruka	水の案内人・ルカ	5	2	50	0	
419	Ruka, the Lady of the Sea	海洋の才女・ルカ	6	2	99	3	
420	Kano	カノ	4	3	15	0	
421	Wind Courier Kano	木の案内人・カノ	5	3	50	0	
422	Kano, the Daughter of Nature	森羅の神子・カノ	6	3	99	3	
423	Fuu	フウ	4	4	15	0	
424	Light Courier Fuu	光の案内人・フウ	5	4	50	0	
425	Fuu, the Dancer in the Grasses	草原の舞姫・フウ	6	4	99	3	
426	Kurone	クロネ	4	5	15	0	
427	Dark Courier Kurone	闇の案内人・クロネ	5	5	50	0	
428	Kurone, the Feline of the Night	宵闇の猫又・クロネ	6	5	99	3	
429	Queen Metal Dragon	クイーンメタルドラゴン	5	5	1	0	
430	Queen Gold Dragon	クイーンゴールドドラゴン	5	4	1	0	
431	Shimonita Leek	下仁田ネギ	3	3	10	0	
432	Super Shimonita Leek	超・下仁田ネギ	4	3	1	0	
433	Shimonita Konjac	下仁田こんにゃく	2	2	10	0	
434	Super Shimonita Konjac	超・下仁田こんにゃく	3	2	1	0	
435	Tsumagoi Cabbage	嬬恋キャベツ	2	3	10	0	
436	Super Tsumagoi Cabbage	超・嬬恋キャベツ	3	3	1	0	
437	Daruma	だるま	3	1	15	0	
438	Super Daruma	超・だるま	4	1	30	0	
439	Gunma	ぐんまけん	5	3	50	0	
440	Super Gunma	超・ぐんまけん	6	3	99	3	
441	Ancient Fire Dragon, Ardbeg	火の歴龍・アードベッグ	6	1	99	2	
442	Ancient Water Dragon, Bowmore	水の歴龍・ボウモア	6	2	99	2	
443	Ancient Wood Dragon, Lagavulin	木の歴龍・ラガヴーリン	6	3	99	2	
444	Ancient Light Dragon, Laphroaig	光の歴龍・ラフロイグ	6	4	99	2	
445	Ancient Dark Dragon, Caol-ila	闇の歴龍・カリラ	6	5	99	2	
475	Hellfire Pyro Demon	火炎獄・パイロデーモン	4	1	99	2	
476	Hellice Frost Demon	氷結獄・フロストデーモン	4	2	99	2	
477	Hellwind Taur Demon	樹海獄・タウロスデーモン	4	3	99	2	
478	Hellray Harpie Demon	光天獄・ハーピィデーモン	4	4	99	2	
479	Helldark Blood Demon	闇地獄・ブラッドデーモン	4	5	99	2	
480	Firedragon Grand Tyrannos	爆炎龍・グランティラノス	6	1	99	3	
481	Icedragon Depth Plesios	氷塊龍・デプスプレシオス	6	2	99	3	
482	Flowerdragon Gaia Brachys	大花龍・ガイアブラキオス	6	3	99	3	
483	Sundragon Sol Pterados	太陽龍・ソルプテラドス	6	4	99	3	
484	Moondragon Lunar D'spinas	月光龍・ルナデスピナス	6	5	99	3	
486	Gamble Mage	ギャンブルメイジ	4	5	35	0	
487	Daredevil of Dark, Gamble Mage	闇の勝負師・ギャンブルメイジ	5	5	99	5	
488	Chrono Turtle	クロノタートル	4	2	35	0	
489	Missionary of Time, Chrono Turtle	時の伝道師・クロノタートル	5	2	99	5	
490	Horus	ホルス	5	1	50	0	
