MonsterID	MaxLevel	MaxHP	MaxATK	MaxRCV	GrowthRateHP	GrowthRateATK	GrowthRateRcv	CurSell	CurFodder	MinHP	MinATK	MinRCV
1522	25	854	314	185	1	1	1	1650	1350	267	98	88	
2605	99	2928	1475	348	1	1	1	4950	4650	1171	590	139	
2743	99	3197	1436	345	1	1	1	6450	6150	1149	668	158	
2402	99	3418	1755	20	1	1	1	7200	6900	1367	702	0	
602	10	255	178	128	0.7	0.7	0.7	1200	4000	85	89	64	
2399	50	2107	538	48	1	1	1	5550	5250	878	224	20	
68	15	330	180	40	0.7	0.7	0.7	800	500	44	48	8	
2250	1	50	50	50	1	1	1	900	600	50	50	50	
237	99	3331	1452	125	1.5	1.5	1.5	4950	4650	1586	968	83	
1548	1	77	5	250	1	1	1	1500	1200	77	5	250	
1777	25	1534	617	5	1	1	1	1650	1350	639	363	3	
2723	1	100	100	100	1	1	1	1650	1350	100	100	100	
113	99	2327	1238	220	1.5	1.5	1.5	2850	2550	798	421	105	
3225	99	3720	1613	90	1	1	1	7200	6900	1448	896	0	
517	15	777	500	100	1	1	1	1650	1350	300	200	10	
1709	1	100	100	100	1	1	1	1650	40000	100	100	100	
1785	99	2308	1189	656	1	1	1	6300	6000	1593	996	438	
3394	99	3819	2131	425	1	1	1	5700	5400	1896	902	158	
1985	99	2105	1135	611	1	1	1	4050	3750	842	454	291	
226	70	1810	1050	477	1.5	1.5	1.5	3300	3000	900	500	230	
2705	1	100	100	100	1	1	1	1050	40000	100	100	100	
2403	99	2341	1033	472	1	1	1	5700	5400	565	333	171	
934	50	1516	914	209	1	1	1	3150	2850	689	435	139	
2686	50	1298	804	41	1	1	1	2550	2250	541	335	17	
93	70	805	490	498	0.7	0.7	0.7	2100	1800	220	197	240	
1227	99	4635	1165	0	1	1	1	8700	8400	1854	614	0	
1143	70	2368	840	90	1	1	1	2550	2250	947	296	43	
2665	50	1054	715	154	1.5	1.5	1.5	2850	2550	439	298	64	
3241	99	4361	2615	123	1.5	1.5	1.5	8250	7950	1955	1001	27	
1331	99	3135	1517	203	1	1	1	4950	4650	1254	843	113	
131	99	2671	1410	396	1.5	1.5	1.5	4200	3900	1140	777	158	
612	99	2543	685	219	1	1	1	3300	3000	942	274	146	
2195	30	689	747	37	0.7	0.7	0.7	1800	1500	265	467	23	
196	50	542	1110	165	1	1	1	1950	1650	198	351	120	
3007	99	3615	1810	120	1	1	1	6600	6300	1246	704	48	
2063	1	100	500	60	1	1	1	50000	40000	100	500	60	
2328	99	2895	2230	342	1	1	1	7350	7050	918	672	164	
3232	99	2154	769	0	1	1	1	1800	1500	359	233	0	
2979	99	4550	1427	219	1.5	1.5	1.5	7350	7050	1643	911	146	
2639	99	4195	1508	103	1	1	1	8850	8550	1678	603	41	
1461	99	6003	913	0	1	1	1	7350	7050	2281	507	0	
1813	50	1157	792	321	1	1	1	3150	2850	482	466	189	
833	25	893	223	21	1	1	1	2250	1950	357	89	10	
3555	99	4021	1654	186	1	1	1	13200	12900	1654	359	21	
1521	1	200	600	50	1	1	1	900	40000	200	600	50	
2643	99	2104	1327	116	1	1	1	4050	3750	1002	632	55	
701	50	918	684	183	1	1	1	2400	2100	204	152	87	
3159	99	3230	1903	273	1	1	1	8850	8550	652	352	32	
2641	99	3005	2010	213	1	1	1	8700	8400	1202	804	85	
3211	99	1300	1892	0	1	1	1	4800	4500	619	901	0	
1101	99	2324	1019	717	1	1	1	4650	4350	644	431	448	
2659	99	3745	1644	409	1	1	1	8250	7950	1258	691	227	
3035	99	2920	1805	313	0.7	0.7	0.7	4500	4200	968	722	125	
2880	30	823	529	46	1	1	1	1950	1650	392	252	22	
2511	99	4025	1774	355	1.5	1.5	1.5	12000	11700	1210	1069	136	
1965	30	257	451	334	0.7	1	1	1950	1650	99	282	209	
442	99	3837	1151	425	1.5	1.5	1.5	10200	9900	1421	548	121	
3207	99	2801	1142	0	1	1	1	4800	4500	1334	544	0	
547	15	70	625	139	0.7	0.7	0.7	1050	1700	27	250	66	
1928	99	3075	1436	645	1.5	1.5	1.5	5850	5550	1050	692	308	
1841	99	4071	1812	65	1.5	1.5	1.5	15000	14700	885	671	24	
3396	99	3591	1887	133	1	1	1	4050	3750	1862	849	22	
3320	1	100	100	100	1	1	1	1500	120000	100	100	100	
922	99	2461	1307	478	1	1	1	5100	4800	418	503	265	
162	1	10	50	1	1	1	1	2500	200	10	50	1	
1769	30	250	456	341	1	1	1	1350	1050	96	285	213	
3068	99	3735	1767	353	1	1	1	8250	7950	1254	843	113	
3546	99	250	250	75	1.5	1.5	1.5	1200	900	25	25	7	
1	5	144	71	13	1	1	1	700	400	52	57	8	
1988	25	1598	333	11	1	1	1	1500	1200	355	74	5	
1217	99	2454	1330	863	1	1	1	10350	10050	981	582	345	
3331	99	3851	1537	165	1	1	1	9000	8700	1834	732	31	
3051	1	10	250	10	1	1	1	1050	40000	10	250	10	
488	35	1148	160	152	1	1	1	2100	1800	328	40	69	
956	50	1278	284	263	1	1	1	3900	3600	284	63	125	
2561	99	2425	1705	348	1	1	1	4950	4650	970	722	139	
1421	99	2530	1372	315	1	1	1	3450	3150	1012	783	175	
3313	1	100	100	100	1	1	1	1800	1500	100	100	100	
1069	50	1572	768	252	1	1	1	3300	3000	655	452	148	
1963	30	252	435	355	0.7	1	1	1950	1650	97	272	222	
2107	99	1755	1125	101	0.7	0.7	0.7	2400	2100	702	450	48	
89	70	840	502	451	0.7	0.7	0.7	2100	1800	210	220	232	
2307	70	1895	638	80	1	1	1	2550	2250	758	255	32	
9	5	168	59	22	1	1	1	700	400	67	32	13	
1865	99	2510	1640	212	1	1	1	4050	3750	1004	911	118	
2695	99	3055	2225	0	1	1	1	5100	4800	1150	810	0	
779	30	443	229	257	1	1	1	1350	1050	70	33	58	
1588	99	3025	1724	355	1.5	1.5	1.5	10350	10050	1210	1069	136	
1293	99	2835	1055	614	1	1	1	4950	4650	1134	586	341	
711	50	1485	500	99	1	1	1	4050	3750	330	111	47	
1294	1	400	400	0	1	1	1	16050	15750	400	400	0	
392	99	2574	1161	741	1.5	1.5	1.5	5850	5550	1110	675	285	
143	99	3165	1332	153	1.5	1.5	1.5	4950	4650	510	322	53	
2607	99	2745	1258	530	1	1	1	4950	4650	1098	503	212	
3349	99	2233	765	570	1	1	1	4950	4650	569	234	124	
1156	50	1265	671	88	1	1	1	2400	2100	281	149	42	
1334	50	1332	944	189	1	1	1	3300	3000	555	555	111	
1159	99	2478	1558	275	1	1	1	4050	3750	871	599	131	
1966	30	265	432	349	0.7	1	1	1950	1650	102	270	218	
1843	99	3340	1678	360	1.5	1.5	1.5	15000	14700	764	598	135	
1812	99	2556	1856	27	1	1	1	4800	4500	1022	1031	15	
1523	70	2076	708	251	1	1	1	2400	2100	769	283	167	
2765	99	3735	2302	63	1	1	1	6300	6000	1214	1112	35	
2791	99	3275	1518	265	1	1	1	4500	4200	1310	607	106	
412	99	3002	1422	131	1.5	1.5	1.5	6600	6300	488	333	51	
1415	99	2851	863	522	1	1	1	3450	3150	1315	302	337	
769	99	2305	1205	365	1	1	1	8700	8400	922	482	174	
263	70	741	1352	86	0.7	0.7	0.7	3100	2200	322	644	57	
1770	30	255	458	336	1	1	1	1350	1050	98	286	210	
2029	50	1411	1148	122	1	1	1	3000	2700	588	675	72	
560	99	2397	1786	156	1	1	1	3750	3450	799	576	104	
82	25	831	309	38	1	1	1	1200	900	133	99	9	
3086	50	1394	530	50	1	1	1	3300	3000	581	221	21	
2892	99	2745	1307	705	1	1	1	8250	7950	1098	738	410	
2216	1	100	100	100	1	1	1	1500	80000	100	100	100	
2434	99	2234	1017	326	0.7	0.7	0.7	3750	3450	1064	535	136	
1071	50	1514	765	275	1	1	1	3300	3000	631	450	162	
1121	99	3555	1569	0	1	1	1	4800	4500	1342	733	0	
2024	70	1843	926	317	1	1	1	2700	2400	768	545	186	
2449	99	2343	1822	171	1	1	1	4050	3750	937	1012	95	
1103	99	2203	1020	760	1	1	1	4650	4350	654	415	456	
3346	99	3048	2128	58	1	1	1	6600	6300	635	394	11	
198	50	517	1073	167	1	1	1	1950	1650	186	338	120	
784	99	2795	1327	205	1	1	1	6450	6150	371	379	62	
2205	99	2928	1558	384	1.5	1.5	1.5	13200	12900	488	472	128	
2333	99	2626	1332	26	1	1	1	4050	3750	1094	701	11	
3093	99	2012	1022	611	1	1	1	4500	4200	1094	394	55	
413	99	3018	1408	142	1.5	1.5	1.5	4950	4650	495	330	52	
2282	99	3845	1819	74	1	1	1	6600	6300	2018	566	2	
11	35	1015	464	140	1	1	1	1800	1500	444	187	68	
1975	99	2552	1237	300	1	1	1	2700	2400	580	399	111	
1847	99	4085	1625	305	1.5	1.5	1.5	16350	16050	888	602	113	
3266	99	4901	2404	245	1.5	1.5	1.5	24300	24000	1521	699	121	
1861	99	3505	1620	76	1.5	1.5	1.5	4500	4200	1442	900	59	
2022	70	1756	946	340	1	1	1	2700	2400	380	271	77	
924	25	576	599	48	1	1	1	1500	1200	128	133	23	
2540	99	4126	1317	0	0.7	0.7	0.7	3900	3600	976	565	0	
2090	99	2880	1335	600	1	1	1	5850	5550	972	494	257	
1214	99	2355	1712	-50	0.7	0.7	0.7	5400	5100	611	554	0	
3391	99	5031	2271	148	1	1	1	10500	10200	1946	916	274	
189	50	1788	988	200	1.5	1.5	1.5	20000	3100	343	258	24	
2300	1	10	10	10	1	1	1	750	450	10	10	10	
141	99	2772	1336	495	1.5	1.5	1.5	4200	3900	1080	725	173	
3384	99	4760	1757	519	1	1	1	8250	7950	1780	729	243	
3026	50	1202	506	242	1	1	1	2400	2100	501	211	101	
727	70	1008	688	531	1	1	1	2400	2100	403	275	253	
1678	99	3285	1101	524	1	1	1	4950	4650	954	745	280	
1896	50	1130	558	155	1	1	1	2250	1950	251	124	74	
2283	99	2826	1250	380	1	1	1	8700	8400	628	357	115	
902	25	536	441	101	1	1	1	1650	1350	119	98	48	
297	15	437	154	111	1	1	1	1500	1750	208	77	60	
3240	99	4094	1915	623	1.5	1.5	1.5	7500	7200	1637	806	241	
2072	1	295	191	111	1	1	1	1200	40000	295	191	111	
2258	99	4329	1387	141	1.5	1.5	1.5	13500	13200	1882	603	74	
257	1	500	40	15	1	1	1	1500000	340000	500	40	15	
909	99	1930	1013	221	1	1	1	2550	2250	650	365	105	
723	70	1908	823	214	1	1	1	2400	2100	763	329	102	
230	99	2037	1253	326	1	1	1	3150	2850	970	835	217	
416	99	2124	1029	592	0.7	0.7	0.7	3450	3150	583	243	282	
1503	99	2188	1308	281	1	1	1	3150	2850	875	523	134	
495	99	3010	1107	585	1	1	1	4950	4650	1204	738	390	
2242	99	2260	1235	531	1	1	1	3450	3150	904	494	253	
2536	99	3473	1301	428	1	1	1	6600	6300	1229	695	238	
2900	99	4666	1449	111	1	1	1	10350	10050	1756	1011	71	
788	70	1350	973	0	1	1	1	2550	2250	580	389	0	
3201	50	1670	670	77	1	1	1	4050	3750	696	279	32	
35	70	1470	1044	86	1	1	1	2550	2250	450	282	83	
1468	99	1631	1033	270	1	1	1	2550	2250	604	492	77	
3512	99	3628	1990	166	1	1	1	6600	6300	1211	689	248	
2522	99	1350	1173	0	1	1	1	2550	2250	580	389	0	
1102	99	2524	1099	518	1	1	1	4650	4350	644	431	448	
2980	99	4067	1845	111	1.5	1.5	1.5	7350	7050	1746	883	74	
1547	1	77	5	250	1	1	1	1500	1200	77	5	250	
1871	99	2980	1570	115	1	1	1	4050	3750	1192	872	64	
1811	50	1278	1146	17	1	1	1	3150	2850	532	674	10	
2768	99	2798	2153	428	1	1	1	4650	4350	1119	801	171	
810	99	3928	1021	395	1	1	1	10200	9900	1611	623	225	
3362	50	1783	722	91	1	1	1	3450	3150	743	301	38	
2713	99	3028	2003	248	1	1	1	10350	10050	1211	801	99	
267	70	771	1323	105	0.7	0.7	0.7	3100	2200	335	630	70	
2111	99	1810	1065	130	1	1	1	2400	2100	724	426	62	
3484	99	4005	2220	466	1.5	1.5	1.5	9000	8700	1818	908	130	
1190	70	2087	1254	0	0.7	0.7	0.7	4800	4500	421	289	0	
3113	99	3805	1555	293	1	1	1	10500	10200	1522	622	117	
2884	30	914	571	2	1	1	1	1950	1650	435	272	1	
3573	99	3668	1932	187	1	1	1	7350	7050	1267	851	104	
2927	99	3905	1974	90	1	1	1	8250	7950	1202	749	380	
2813	99	3378	1570	504	1	1	1	7500	7200	1271	913	256	
444	99	3818	1113	439	1.5	1.5	1.5	10200	9900	1414	530	125	
2957	99	3511	1351	257	1	1	1	3900	3600	1730	767	24	
1979	99	3080	1612	65	1	1	1	2700	2400	700	520	24	
3586	99	3210	1933	138	1	1	1	6600	6300	1204	773	39	
2319	50	1258	1307	0	1	1	1	5550	5250	524	769	0	
1674	99	4575	1211	301	1	1	1	10350	10050	1630	673	167	
3487	99	4935	2024	305	1	1	1	9000	8700	2018	854	101	
2899	50	1826	1211	85	1	1	1	7200	6900	359	512	2	
1287	99	2328	1259	524	1	1	1	4050	3750	931	644	308	
1247	50	1606	750	243	1	1	1	4200	3900	669	441	143	
2983	99	4305	1632	610	1	1	1	6600	6300	1042	629	339	
624	50	1210	718	452	1	1	1	4800	4500	504	359	215	
2148	99	3378	1610	353	1.5	1.5	1.5	10350	10050	1231	644	206	
2330	1	181	171	41	1	1	1	1050	40000	181	171	41	
3233	99	3878	1660	403	1.5	1.5	1.5	12000	11700	1231	644	206	
2410	99	2996	1368	463	1	1	1	4950	4650	1616	988	281	
2531	99	3550	1278	123	1	1	1	4050	3750	1420	511	49	
927	70	2710	890	0	1	1	1	2400	2100	1084	356	0	
2136	99	2008	1653	353	1	1	1	4050	3750	803	661	168	
1953	99	4595	1471	0	1	1	1	8700	8400	1838	817	0	
1857	99	3413	1793	0	0.7	0.7	0.7	4500	4200	1365	717	0	
1146	50	1202	477	166	1	1	1	4050	3750	267	106	79	
597	99	3504	1334	428	1	1	1	10350	10050	1729	1065	214	
2547	99	1260	514	352	1	1	1	1950	1650	100	290	220	
1273	99	5107	996	108	1	1	1	5250	4950	2128	689	4	
2097	50	1106	962	168	0.7	0.7	0.7	2250	1950	461	566	99	
2827	99	4515	2003	285	1	1	1	4950	4650	1806	801	114	
227	1	300	300	300	1	1	1	1200	20000	300	300	300	
1313	70	983	1295	218	1	1	1	2400	2100	393	518	104	
787	25	725	432	0	1	1	1	1500	1200	161	96	0	
2267	99	3735	1256	196	1	1	1	4950	4650	1494	698	109	
3041	99	2845	1323	325	1	1	1	4050	3750	1138	529	130	
1989	70	3195	750	21	1	1	1	2400	2100	1278	300	10	
183	1	756	412	207	1	1	1	500	40000	756	412	207	
2953	99	4355	1300	366	1	1	1	6450	6150	1182	720	397	
1462	50	1675	967	100	1	1	1	7200	6900	698	569	59	
3550	99	3941	2021	5	1	1	1	6450	6150	1642	842	2	
2191	99	4046	1309	33	1.5	1.5	1.5	4800	4500	899	374	10	
3078	99	2375	1705	215	1	1	1	4050	3750	950	682	86	
283	99	4307	1590	105	1	1	1	8700	8400	1595	757	30	
59	30	638	518	30	1	1	1	1350	1050	268	129	12	
3455	99	3253	1455	418	1	1	1	6600	6300	981	725	299	
2446	50	1342	774	434	0.7	0.7	0.7	3000	2700	559	455	255	
1974	99	2928	1491	240	1	1	1	2700	2400	620	481	89	
2004	1	108	108	108	1	1	1	16800	40000	108	108	108	
2534	99	4078	1680	403	1.5	1.5	1.5	10500	10200	1231	644	206	
163	1	10	50	1	1	1	1	2500	200	10	50	1	
1532	99	2525	1702	500	1	1	1	10350	10050	930	1001	278	
2895	99	3060	1750	281	1	1	1	13350	13050	1058	907	98	
2946	99	3505	1425	499	1	1	1	12000	11700	1326	736	277	
1414	50	1644	335	374	1	1	1	2400	2100	685	197	220	
768	50	1152	536	193	1	1	1	7050	6750	256	119	92	
3154	99	2969	1495	179	1	1	1	7200	6900	1625	801	84	
963	50	1073	578	55	1	1	1	1800	1500	429	231	26	
3069	99	3815	1300	608	1	1	1	8250	7950	966	722	288	
3250	99	3021	1405	16	1	1	1	13350	13050	1221	405	2	
2008	99	3815	1337	153	1	1	1	7200	6900	1526	743	85	
1860	50	1802	1000	66	1.5	1.5	1.5	2850	2550	751	588	39	
2048	99	2445	1132	538	1	1	1	4050	3750	1018	629	299	
1598	30	650	574	91	0.7	1	1	1350	1050	250	359	57	
223	50	906	752	165	1	1	1	1950	1650	61	68	15	
1112	99	4131	1452	125	1.5	1.5	1.5	6600	6300	1586	968	83	
3526	99	3512	1664	321	1	1	1	10200	9900	1512	704	141	
3548	99	2964	2450	43	1	1	1	6450	6150	1235	1021	18	
919	99	2528	1370	416	1	1	1	5100	4800	447	529	244	
2007	50	1908	825	94	1	1	1	5550	5250	795	485	55	
630	50	1370	1004	242	1	1	1	4800	4500	571	502	115	
1283	99	3158	1623	56	1	1	1	4050	3750	1263	846	31	
323	99	2477	1488	360	1.5	1.5	1.5	4200	3900	798	421	105	
219	99	1576	1755	228	1.5	1.5	1.5	7200	6900	309	428	114	
1684	99	2078	1616	373	0.7	0.7	0.7	4050	3750	791	898	207	
1657	50	1752	877	0	1	1	1	2850	2550	730	516	0	
1728	99	2508	1639	766	1	1	1	8250	7950	1593	996	438	
997	99	3538	1197	503	1	1	1	6600	6300	1215	731	402	
2407	99	3015	1411	633	1.5	1.5	1.5	10500	10200	1106	756	335	
821	99	2351	1123	420	1	1	1	5700	5400	815	409	280	
1155	99	2859	1328	294	1	1	1	4050	3750	890	491	176	
3500	99	4220	1804	652	1	1	1	8250	7950	1608	711	321	
512	99	6283	1363	-500	1	1.5	1.5	5550	5250	3000	1101	0	
374	50	1406	1000	210	1.5	1.5	1.5	4050	3750	586	500	100	
3037	99	2635	1840	65	1	1	1	4050	3750	1054	736	26	
1536	99	3644	1728	122	1	1	1	12000	11700	1561	1088	61	
3301	99	3000	1755	0	1	1	1	4050	3750	1200	702	0	
1742	99	2525	1745	403	1	1	1	6600	6300	1250	747	196	
2336	99	3102	1078	31	1	1	1	4050	3750	1501	491	13	
393	99	2574	1161	741	1.5	1.5	1.5	5850	5550	1110	675	285	
2956	99	2144	1331	607	0.7	0.7	0.7	4800	4500	589	227	289	
1299	99	4245	1466	325	1	1	1	6600	6300	1338	759	153	
798	1	831	831	831	1	1	1	1000000	700000	831	831	831	
3315	1	100	100	100	1	1	1	1800	1500	100	100	100	
1681	50	1387	758	223	1.5	1.5	1.5	2400	2100	578	446	131	
2750	99	2758	1853	516	1	1	1	6600	6300	1112	902	231	
504	25	586	355	263	1	1	1	1500	1200	183	111	125	
2335	99	2718	1225	50	1	1	1	4050	3750	1341	552	21	
3105	99	2025	2083	391	1	1	1	6600	6300	810	1074	167	
999	99	3055	1180	596	1	1	1	6600	6300	1182	720	397	
330	99	2510	1462	361	1.5	1.5	1.5	4200	3900	777	451	95	
2904	99	3215	1421	641	1	1	1	6600	6300	1006	706	356	
2070	99	2835	1255	644	1	1	1	6600	6300	1134	586	341	
700	99	2135	1900	162	1	1	1	3300	3000	854	680	77	
4	99	2145	1114	231	1	1	1	2550	2250	777	457	100	
63	50	1775	888	8	1	1	1	1800	1650	504	284	5	
903	70	1273	943	191	1	1	1	2700	2400	429	397	91	
724	25	531	563	107	1	1	1	1500	1200	118	125	51	
2082	99	2425	1368	640	1	1	1	6600	6300	810	732	339	
765	70	1855	863	206	1	1	1	2400	2100	742	345	98	
3328	70	1435	540	290	1	1	1	7050	6750	598	225	121	
2653	30	515	250	34	1	1	1	1800	1500	245	119	16	
639	99	2428	1206	554	1	1	1	5700	5400	971	754	369	
2797	1	100	500	60	1	1	1	1200	40000	100	500	60	
891	99	3090	1565	361	1	1	1	6600	6300	725	943	95	
3107	99	3220	1524	368	1	1	1	6600	6300	1208	791	171	
728	50	1584	590	23	1	1	1	3150	2850	352	131	11	
616	70	1666	943	188	1	1	1	2400	2100	617	377	125	
2684	50	1582	732	5	1	1	1	2550	2250	659	305	2	
176	1	100	20	5	1	1	1	100	108000	100	20	5	
1470	99	1323	1184	326	1	1	1	3150	2850	512	499	22	
1216	99	2528	1506	554	1	1	1	7350	7050	971	754	369	
1950	50	1637	1086	0	1	1	1	7200	6900	682	639	0	
816	70	1818	1085	302	1	1	1	2400	2100	727	434	144	
1258	99	3295	1363	423	1	1	1	7350	7050	1038	842	282	
2554	50	1586	710	110	1	1	1	3300	3000	661	296	46	
3052	1	10	250	10	1	1	1	1050	40000	10	250	10	
2565	99	5055	1053	460	1	1	1	10350	10050	2022	261	184	
615	25	771	419	139	1	1	1	1500	1200	241	131	66	
1735	99	3328	1290	446	1	1	1	6600	6300	1211	689	248	
2243	99	2360	1235	581	1	1	1	5100	4800	904	494	253	
2400	99	4215	1210	108	1	1	1	7200	6900	1686	484	43	
1729	99	2508	1639	766	1	1	1	8250	7950	1593	996	438	
742	30	226	101	0	0.7	0.7	0.7	1050	750	55	41	0	
2760	99	7011	1465	0	1.5	1.5	1.5	16500	16200	3980	491	0	
3323	1	100	100	100	1	1	1	1500	120000	100	100	100	
2	15	490	231	50	1	1	1	1000	700	115	64	12	
1529	99	2432	1287	0	0.7	0.7	0.7	2700	2400	96	1177	0	
1131	99	4075	1409	190	1	1	1	5700	5400	1630	783	50	
895	99	3796	1218	363	1	1	1	6450	6150	1616	988	281	
1375	99	2865	1481	801	1	1	1	10350	10050	1026	767	395	
2599	1	108	108	108	1	1	1	1050	40000	108	108	108	
2247	99	3630	1518	68	1	1	1	4350	4050	825	409	25	
2767	99	2498	1803	328	1	1	1	3000	2700	1119	801	171	
1652	99	3308	1235	140	1	1	1	3750	3450	1323	686	78	
433	10	800	100	100	1	1	1	1350	800	80	10	10	
2752	99	4075	1509	250	1	1	1	7350	7050	1630	783	50	
3008	50	1061	382	346	1	1	1	2400	2100	442	159	144	
2821	99	2650	1700	246	0.7	0.7	0.7	4050	3750	820	889	142	
2423	50	1291	924	34	1	1	1	3300	3000	538	385	14	
2293	50	1442	855	221	1	1	1	5100	4800	601	503	130	
3021	99	2373	1625	113	1	1	1	4050	3750	949	650	45	
332	99	2810	1262	401	1.5	1.5	1.5	4200	3900	777	451	95	
786	99	2700	1330	0	1	1	1	6450	6150	350	380	0	
1763	99	2408	1019	330	1	1	1	2850	2550	535	291	100	
1739	99	3195	1906	107	1	1	1	6600	6300	1278	1031	15	
817	25	2129	459	-100	1	1	1	2250	1950	473	102	-100	
957	99	2555	640	498	1	1	1	5550	5250	1022	256	237	
2271	99	3020	1424	308	1	1	1	4950	4650	1208	791	171	
3057	99	3220	1585	333	1	1	1	6600	6300	1208	594	121	
2784	99	2890	1378	275	1	1	1	4050	3750	1156	551	110	
2028	70	1769	906	355	1	1	1	2700	2400	737	533	209	
71	50	888	400	117	0.7	0.7	0.7	1650	1350	288	149	41	
1877	99	2911	1511	110	1.5	1.5	1.5	7200	6900	2229	1310	109	
1693	25	1611	540	23	1	1	1	1800	1500	358	120	11	
426	15	273	103	155	0.7	0.7	0.7	1800	1500	91	41	74	
674	99	2745	1365	307	1	1	1	4050	3750	1058	466	146	
1648	99	5068	1024	-200	1	1	1	4200	3900	2027	569	0	
1201	99	3470	2215	198	1	1	1	7350	7050	868	766	104	
1646	99	6666	1222	-9999	1	1	1	12000	11700	1336	710	-9999	
2093	50	1145	869	218	0.7	0.7	0.7	2250	1950	477	511	128	
2671	50	1390	581	146	1.5	1.5	1.5	2850	2550	579	242	61	
1008	30	591	411	147	1	1	1	1350	1050	109	78	18	
3427	1	108	108	108	1	1	1	1050	40000	108	108	108	
584	50	902	63	176	1	1	1	1350	1900	291	30	117	
1254	99	2538	1219	723	1	1	1	7350	7050	975	646	402	
2516	99	1611	1135	691	1	1	1	3900	3600	690	436	432	
3248	99	862	1942	0	1	1	1	3150	2850	359	809	0	
124	50	1600	894	183	1.5	1.5	1.5	2300	2000	328	243	52	
3001	99	2125	1075	235	0.7	0.7	0.7	4200	3900	1012	512	112	
2734	99	2835	1178	220	1	1	1	4200	3900	632	255	59	
652	99	2775	1652	437	1.5	1.5	1.5	6600	6300	1010	868	291	
983	99	2508	1289	656	1	1	1	6600	6300	1593	996	438	
3543	1	8000	1000	0	0.7	0.7	0.7	16050	15750	8000	1000	0	
2539	99	2195	1409	623	0.7	0.7	0.7	3900	3600	878	783	346	
656	99	3208	1372	477	1.5	1.5	1.5	6600	6300	987	841	318	
341	99	2510	1254	438	1.5	1.5	1.5	4200	3900	812	457	74	
24	15	315	120	45	1	1	1	700	400	42	32	9	
790	70	855	620	389	1	1	1	2550	2250	342	248	185	
967	99	2651	1202	166	1	1	1	2550	2250	964	437	72	
2970	99	4013	1658	298	0.7	0.7	0.7	6750	6450	1325	543	142	
1370	30	614	674	74	1	1	1	1200	900	236	421	46	
