image60_size	jp_only	name	image40_href	image40_size	rarity	active_skill	atk_max	id	rcv_scale	team_cost	leader_skill	hp_scale	version	atk_scale	rcv_min	atk_min	rcv_max	monster_points	type3	hp_max	element2	element	type2	max_level	awoken_skills	hp_min	name_jp	image60_href	feed_xp	xp_curve	type	
9441	False	Brachys	/static/img/monsters/40x40/11.781511b5d848.png	4044	4	Gaia Breath	464	11	1.0	6	Wood Power	1.0	293	1.0	68	187	140	1	None	1015	None	2	None	35	[]	444	ブラキオス	/static/img/monsters/60x60/11.7bb96b9d006e.png	375.0	1500000	4	
14271	False	Flowerdragon Brachys	/static/img/monsters/40x40/12.1bf2a7d82cf5.png	7349	5	Gaia Breath	1031	12	1.0	10	Power of Gaia	1.0	293	1.0	126	418	286	1	None	2228	None	2	None	99	[1, 2, 21]	812	大花龍ブラキオス	/static/img/monsters/60x60/12.7785edc87a35.png	563.0	1500000	4	
12680	False	Pterra	/static/img/monsters/40x40/13.80a3c4e3d030.png	6939	2	Flash Breath	65	13	1.0	2	Light Power	1.0	293	1.0	9	52	15	1	None	138	None	3	None	5	[]	47	プテーラ	/static/img/monsters/60x60/13.e0bb7f076469.png	100.0	1500000	4	
11688	False	Pteras	/static/img/monsters/40x40/14.2aee798027ba.png	4837	3	Flash Breath	221	14	1.0	4	Light Power	1.0	293	1.0	14	59	55	1	None	460	None	3	None	15	[]	110	プテラス	/static/img/monsters/60x60/14.e4a0a971bd3c.png	175.0	1500000	4	
14025	False	Pterados	/static/img/monsters/40x40/15.a626212f1828.png	7304	4	Holy Breath	486	15	1.0	6	Light Power	1.0	293	1.0	50	199	117	1	None	928	None	3	None	35	[]	368	プテラドス	/static/img/monsters/60x60/15.375c4dcecc90.png	375.0	1500000	4	
13817	False	Sundragon Pterados	/static/img/monsters/40x40/16.7daa67a56f77.png	7126	5	Holy Breath	1073	16	1.0	10	Power of Flash	1.0	293	1.0	105	437	253	1	None	2063	None	3	None	99	[1, 2, 21]	742	太陽龍プテラドス	/static/img/monsters/60x60/16.df711c3a93ac.png	563.0	1500000	4	
11682	False	Spinon	/static/img/monsters/40x40/17.5f6708af49c2.png	4679	2	Dark Breath	78	17	1.0	2	Dark Power	1.0	293	1.0	7	62	12	1	None	129	None	4	None	5	[]	42	スピノン	/static/img/monsters/60x60/17.8f72ec6e9c67.png	100.0	1500000	4	
11438	False	Spinas	/static/img/monsters/40x40/18.5d14d90f1b39.png	4682	3	Dark Breath	236	18	1.0	4	Dark Power	1.0	293	1.0	11	70	45	1	None	447	None	4	None	15	[]	103	スピナス	/static/img/monsters/60x60/18.213fe502b5dd.png	175.0	1500000	4	
14458	False	D'spinas	/static/img/monsters/40x40/19.151bdccbd6bc.png	7336	4	Inferno Breath	499	19	1.0	6	Dark Power	1.0	293	1.0	41	212	105	1	None	954	None	4	None	35	[]	358	デスピナス	/static/img/monsters/60x60/19.e38b13fcb44f.png	375.0	1500000	4	
14713	False	Moondragon D'spinas	/static/img/monsters/40x40/20.759d9cb8b9c4.png	7392	5	Inferno Breath	1097	20	1.0	10	Dark Power	1.0	293	1.0	95	449	220	1	None	2112	None	4	None	99	[1, 2, 21]	763	月光龍デスピナス	/static/img/monsters/60x60/20.07ac62f0cdd7.png	563.0	1500000	4	
12197	False	Lil' Red Dragon	/static/img/monsters/40x40/21.c89dc68633ed.png	6812	2	Heat Ball	150	21	1.0	2	None	1.0	293	1.0	9	40	45	1	None	240	None	0	None	15	[]	32	レッドコドラ	/static/img/monsters/60x60/21.be921360b479.png	100.0	1500000	4	
10124	False	Red Dragon	/static/img/monsters/40x40/22.d0addd63f0bc.png	4235	3	Heat Ball	300	22	1.0	5	Fire Guard	1.0	293	1.0	41	135	92	1	None	545	None	0	None	25	[]	192	レッドドラゴン	/static/img/monsters/60x60/22.8a8071cbed61.png	300.0	1500000	4	
13231	False	Volcano Dragon	/static/img/monsters/40x40/23.f5602a74c850.png	6964	4	Fire Ball	1056	23	1.0	11	Fire Guard	1.0	293	1.0	83	270	93	1	None	1412	None	0	None	70	[]	436	ボルケーノドラゴン	/static/img/monsters/60x60/23.af0b56128823.png	563.0	1500000	4	
12545	False	Lil' Blue Dragon	/static/img/monsters/40x40/24.b3f9f52f68ce.png	6977	2	Cold Ball	120	24	1.0	2	None	1.0	293	1.0	9	32	45	1	None	315	None	1	None	15	[]	42	ブルーコドラ	/static/img/monsters/60x60/24.2437552cd551.png	100.0	1500000	4	
14016	False	Blue Dragon	/static/img/monsters/40x40/25.f95428e99406.png	7317	3	Cold Ball	272	25	1.0	5	Water Guard	1.0	293	1.0	41	108	92	1	None	625	None	1	None	25	[]	252	ブルードラゴン	/static/img/monsters/60x60/25.5b0dbffdcef0.png	300.0	1500000	4	
14673	False	Aurora Dragon	/static/img/monsters/40x40/26.2c2c3c4b71d7.png	7462	4	Ice Ball	1003	26	1.0	11	Water Guard	1.0	293	1.0	83	245	101	1	None	1528	None	1	None	70	[]	500	オーロラドラゴン	/static/img/monsters/60x60/26.5496a348b68f.png	563.0	1500000	4	
11592	False	Lil' Green Dragon	/static/img/monsters/40x40/27.fb1b5f90dbe0.png	6651	2	Wind Ball	139	27	1.0	2	None	1.0	293	1.0	10	37	50	1	None	300	None	2	None	15	[]	40	グリーンコドラ	/static/img/monsters/60x60/27.ad7d3055e7de.png	100.0	1500000	4	
11948	False	Green Dragon	/static/img/monsters/40x40/28.8b5565429f77.png	6756	3	Wind Ball	291	28	1.0	5	Wood Guard	1.0	293	1.0	45	125	100	1	None	600	None	2	None	25	[]	240	グリーンドラゴン	/static/img/monsters/60x60/28.4f7fdfc1d965.png	300.0	1500000	4	
13213	False	Earth Dragon	/static/img/monsters/40x40/29.873dd40e529c.png	6910	4	Earth Ball	1015	29	1.0	11	Wood Guard	1.0	293	1.0	90	262	109	1	None	1505	None	2	None	70	[]	480	アースドラゴン	/static/img/monsters/60x60/29.aa61ef5829c7.png	563.0	1500000	4	
12116	False	Lil' White Dragon	/static/img/monsters/40x40/30.6fd6be36c676.png	7085	2	Flash Ball	128	30	1.0	2	None	1.0	293	1.0	11	34	55	1	None	255	None	3	None	15	[]	34	ホワイトコドラ	/static/img/monsters/60x60/30.812125964c06.png	100.0	1500000	4	
13363	False	White Dragon	/static/img/monsters/40x40/31.aad9cc0d35ae.png	7294	3	Flash Ball	283	31	1.0	5	Light Guard	1.0	293	1.0	50	115	108	1	None	556	None	3	None	25	[]	204	ホワイトドラゴン	/static/img/monsters/60x60/31.15f95d2e9828.png	300.0	1500000	4	
14277	False	Holy Dragon	/static/img/monsters/40x40/32.d79fe905c607.png	7476	4	Thunder Ball	1027	32	1.0	11	Light Guard	1.0	293	1.0	97	255	117	1	None	1447	None	3	None	70	[]	445	ホーリードラゴン	/static/img/monsters/60x60/32.6707a7285aa2.png	563.0	1500000	4	
14317	False	Lil' Black Dragon	/static/img/monsters/40x40/33.240afbe1b85f.png	7342	2	Dark Ball	158	33	1.0	2	None	1.0	293	1.0	9	42	45	1	None	278	None	4	None	15	[]	37	ブラックコドラ	/static/img/monsters/60x60/33.a63048437b0b.png	100.0	1500000	4	
14688	False	Black Dragon	/static/img/monsters/40x40/34.0626797854f0.png	7442	3	Dark Ball	313	34	1.0	5	Dark Guard	1.0	293	1.0	41	142	92	1	None	563	None	4	None	25	[]	222	ブラックドラゴン	/static/img/monsters/60x60/34.798e7570a66a.png	300.0	1500000	4	
15177	False	Devil Dragon	/static/img/monsters/40x40/35.238c43f1473c.png	7589	4	Chaos Ball	1044	35	1.0	11	Dark Guard	1.0	293	1.0	83	282	86	1	None	1470	None	4	None	70	[]	450	デビルドラゴン	/static/img/monsters/60x60/35.07f230bbc3b6.png	563.0	1500000	4	
10224	False	Flamie	/static/img/monsters/40x40/36.7fd87e2060cf.png	6313	1	None	105	36	0.7	1	None	0.7	293	0.7	9	42	30	1	None	195	None	0	None	10	[]	39	ホノりん	/static/img/monsters/60x60/36.4ef9f219cb1d.png	50.0	1000000	1	
13306	False	Big Flamie	/static/img/monsters/40x40/37.988118430ae4.png	7223	2	Attack Stance - Fire	323	37	0.7	3	None	0.7	293	0.7	27	95	50	1	None	480	None	0	None	30	[]	156	デカホノりん	/static/img/monsters/60x60/37.498f6c8c708c.png	188.0	1000000	1	
10489	False	Bubblie	/static/img/monsters/40x40/38.c7bd4676a359.png	6468	1	None	93	38	0.7	1	None	0.7	293	0.7	9	37	30	1	None	215	None	1	None	10	[]	43	アワりん	/static/img/monsters/60x60/38.c07c357a9773.png	50.0	1000000	1	
11622	False	Big Bubblie	/static/img/monsters/40x40/39.5bab847854a6.png	6706	2	Guard Stance - Water	296	39	0.7	3	None	0.7	293	0.7	27	84	55	1	None	518	None	1	None	30	[]	172	デカアワりん	/static/img/monsters/60x60/39.7ff2e7192ef1.png	188.0	1000000	1	
11684	False	Woodsie	/static/img/monsters/40x40/40.ffbb232dd82f.png	6651	1	None	90	40	0.7	1	None	0.7	293	0.7	11	36	37	1	None	205	None	2	None	10	[]	41	モリりん	/static/img/monsters/60x60/40.6a965bf35a7d.png	50.0	1000000	1	
12382	False	Big Woodsie	/static/img/monsters/40x40/41.beddbc6c65d1.png	6779	2	Orb Refresh	311	41	0.7	3	None	0.7	293	0.7	33	81	65	1	None	503	None	2	None	30	[]	164	デカモリりん	/static/img/monsters/60x60/41.c5d93bed1ba1.png	188.0	1000000	1	
10394	False	Shynee	/static/img/monsters/40x40/42.ee020c7b3e40.png	6266	1	None	98	42	0.7	1	None	0.7	293	0.7	10	39	33	1	None	195	None	3	None	10	[]	39	ヒカりん	/static/img/monsters/60x60/42.0df1c7bdd2a0.png	50.0	1000000	1	
12690	False	Big Shynee	/static/img/monsters/40x40/43.c7dd1b971021.png	7088	2	Guard Stance - Light	304	43	0.7	3	None	0.7	293	0.7	30	88	60	1	None	488	None	3	None	30	[]	156	デカヒカりん	/static/img/monsters/60x60/43.6a32930d8115.png	188.0	1000000	1	
11385	False	Baddie	/static/img/monsters/40x40/44.0c3f68fad7ae.png	6605	1	None	108	44	0.7	1	None	0.7	293	0.7	8	43	27	1	None	205	None	4	None	10	[]	41	ワルりん	/static/img/monsters/60x60/44.0d75b5024178.png	50.0	1000000	1	
13347	False	Big Baddie	/static/img/monsters/40x40/45.ac10b4649a87.png	7187	2	Attack Stance - Dark	319	45	0.7	3	None	0.7	293	0.7	24	97	45	1	None	503	None	4	None	30	[]	164	デカワルりん	/static/img/monsters/60x60/45.4b7b4ca2fd11.png	188.0	1000000	1	
12852	False	Red Carbuncle	/static/img/monsters/40x40/46.ee3dde130a66.png	7219	1	Ray of Healing	60	46	0.7	2	None	0.7	293	0.7	25	24	83	1	None	180	None	0	None	10	[]	36	レッドカーバンクル	/static/img/monsters/60x60/46.52a5b5f65763.png	75.0	1000000	3	
14202	False	Ruby Carbuncle	/static/img/monsters/40x40/47.0db101143bae.png	7488	2	Light of Healing	139	47	0.7	5	None	0.7	293	0.7	75	54	175	1	None	315	None	0	None	30	[]	144	ルビーカーバンクル	/static/img/monsters/60x60/47.3432d81f42bd.png	263.0	1000000	3	
13487	False	Blue Carbuncle	/static/img/monsters/40x40/48.adfbefbffdcb.png	7209	1	Ray of Healing	55	48	0.7	2	None	0.7	293	0.7	27	22	85	1	None	182	None	1	None	10	[]	36	ブルーカーバンクル	/static/img/monsters/60x60/48.c9fa95a6c0cd.png	75.0	1000000	3	
14373	False	Sapphire Carbuncle	/static/img/monsters/40x40/49.3bd009b14898.png	7514	2	Light of Healing	135	49	0.7	5	None	0.7	293	0.7	77	50	185	1	None	308	None	1	None	30	[]	146	サファイアカーバンクル	/static/img/monsters/60x60/49.c2735ffd7017.png	263.0	1000000	3	
13588	False	Green Carbuncle	/static/img/monsters/40x40/50.9ab7bcdb2de6.png	7195	1	Ray of Healing	55	50	0.7	2	None	0.7	293	0.7	26	22	87	1	None	175	None	2	None	10	[]	35	グリーンカーバンクル	/static/img/monsters/60x60/50.a2c30a1d4e8b.png	75.0	1000000	3	
14953	False	Emerald Carbuncle	/static/img/monsters/40x40/51.c6117fe104a9.png	7495	2	Light of Healing	135	51	0.7	5	None	0.7	293	0.7	78	50	180	1	None	308	None	2	None	30	[]	140	エメラルドカーバンクル	/static/img/monsters/60x60/51.972ddba688f0.png	263.0	1000000	3	
13228	False	Yellow Carbuncle	/static/img/monsters/40x40/52.189b30746ea1.png	7160	1	Ray of Healing	53	52	0.7	2	None	0.7	293	0.7	27	21	90	1	None	170	None	3	None	10	[]	34	イエローカーバンクル	/static/img/monsters/60x60/52.c2bd675c16da.png	75.0	1000000	3	
14405	False	Topaz Carbuncle	/static/img/monsters/40x40/53.a99b7063bfef.png	7513	2	Light of Healing	131	53	0.7	5	None	0.7	293	0.7	81	48	190	1	None	300	None	3	None	30	[]	136	トパーズカーバンクル	/static/img/monsters/60x60/53.eea7a492da4f.png	263.0	1000000	3	
13928	False	Purple Carbuncle	/static/img/monsters/40x40/54.826a138577c1.png	7315	1	Ray of Healing	63	54	0.7	2	None	0.7	293	0.7	24	25	80	1	None	173	None	4	None	10	[]	34	パープルカーバンクル	/static/img/monsters/60x60/54.1c842080ee34.png	75.0	1000000	3	
14451	False	Amethyst Carbuncle	/static/img/monsters/40x40/55.7b4f43e96e5f.png	7580	2	Light of Healing	146	55	0.7	5	None	0.7	293	0.7	72	57	170	1	None	293	None	4	None	30	[]	138	アメジストカーバンクル	/static/img/monsters/60x60/55.5917db6a2a51.png	263.0	1000000	3	
14408	False	Red Goblin	/static/img/monsters/40x40/56.6bc6e263dd50.png	7304	1	None	155	56	1.0	2	None	1.0	293	1.0	5	62	17	1	None	310	None	0	None	10	[]	62	レッドゴブリン	/static/img/monsters/60x60/56.73e4375dcb57.png	75.0	1500000	6	
15023	False	Samurai Goblin	/static/img/monsters/40x40/57.4227ac165fe9.png	7409	2	Attack Stance - Fire	525	57	1.0	5	None	1.0	293	1.0	15	140	35	1	None	600	None	0	None	30	[]	248	武者ゴブリン	/static/img/monsters/60x60/57.b959136d6ec4.png	263.0	1500000	6	
14532	False	Blue Goblin	/static/img/monsters/40x40/58.02e16e17d8fa.png	7392	1	None	143	58	1.0	2	None	1.0	293	1.0	4	57	13	1	None	335	None	1	None	10	[]	67	ブルーゴブリン	/static/img/monsters/60x60/58.7612ce5043d0.png	75.0	1500000	6	
14730	False	Marine Goblin	/static/img/monsters/40x40/59.92957a19660e.png	7440	2	Guard Stance - Water	518	59	1.0	5	None	1.0	293	1.0	12	129	30	1	None	638	None	1	None	30	[]	268	マリンゴブリン	/static/img/monsters/60x60/59.c7bdebc1c7d8.png	263.0	1500000	6	
14152	False	Goblin	/static/img/monsters/40x40/60.0d7de336d22d.png	7234	1	None	148	60	1.0	2	None	1.0	293	1.0	3	59	10	1	None	325	None	2	None	10	[]	65	ゴブリン	/static/img/monsters/60x60/60.dc4eecabb6f1.png	75.0	1500000	6	
14334	False	Hobgoblin	/static/img/monsters/40x40/61.e4143fa0c2a3.png	7309	2	Orb Refresh	506	61	1.0	5	None	1.0	293	1.0	9	133	25	1	None	623	None	2	None	30	[]	260	ホブゴブリン	/static/img/monsters/60x60/61.ad6662f8d515.png	263.0	1500000	6	
14064	False	Red Ogre	/static/img/monsters/40x40/62.90abc60c522f.png	7196	2	None	315	62	1.0	4	Resolve	1.0	293	1.0	1	84	5	1	None	630	None	0	None	15	[]	84	レッドオーガ	/static/img/monsters/60x60/62.ff01215ca6d0.png	150.0	1500000	2	
15224	False	Samurai Ogre	/static/img/monsters/40x40/63.0d72e0baaa09.png	7367	3	Fire&Wood Orbs Change	888	63	1.0	7	Resolve	1.0	293	1.0	5	284	8	1	None	1775	None	0	None	50	[21, 21]	504	サムライオーガ	/static/img/monsters/60x60/63.eaf980bed68a.png	413.0	1500000	2	
13329	False	Blue Ogre	/static/img/monsters/40x40/64.5e7dde8178f0.png	6968	2	None	308	64	1.0	4	Resolve	1.0	293	1.0	1	82	5	1	None	623	None	1	None	15	[]	83	ブルーオーガ	/static/img/monsters/60x60/64.70da91b29ee3.png	150.0	1500000	2	
14269	False	Ice Ogre	/static/img/monsters/40x40/65.3aee84a30e84.png	7139	3	Fire&Water Orbs Change	875	65	1.0	7	Resolve	1.0	293	1.0	5	277	8	1	None	1900	None	1	None	50	[21, 21]	498	アイスオーガ	/static/img/monsters/60x60/65.ea64649f2c75.png	413.0	1500000	2	
13452	False	Ogre	/static/img/monsters/40x40/66.aa8ab6616475.png	7055	2	None	296	66	1.0	4	Resolve	1.0	350	1.0	1	79	5	1	None	615	None	2	None	15	[]	82	オーガ	/static/img/monsters/60x60/66.8ac666de9e04.png	150.0	1500000	2	
13530	False	Armor Ogre	/static/img/monsters/40x40/67.a48f50ac4695.png	7023	3	Water&Wood Orbs Change	856	67	1.0	7	Resolve	1.0	293	1.0	5	266	8	1	None	1838	None	2	None	50	[21, 21]	492	アーマーオーガ	/static/img/monsters/60x60/67.fad38db3f276.png	413.0	1500000	2	
14609	False	Flame Fighter	/static/img/monsters/40x40/68.a0b8413e0b81.png	7383	2	Guard Break	180	68	0.7	3	None	0.7	293	0.7	8	48	40	1	None	330	None	0	None	15	[]	44	フレイムファイター	/static/img/monsters/60x60/68.a891e06083e4.png	125.0	1000000	1	
14439	False	Flame Knight	/static/img/monsters/40x40/69.22cd94e15b4b.png	7275	3	Guard Break	444	69	0.7	6	None	0.7	293	0.7	36	162	100	1	None	838	None	0	None	50	[]	264	フレイムナイト	/static/img/monsters/60x60/69.feb504aa2eb5.png	338.0	1000000	1	
14503	False	Aqua Fighter	/static/img/monsters/40x40/70.b41f1f9c1663.png	7435	2	Guard Break	165	70	0.7	3	None	0.7	293	0.7	9	44	45	1	None	360	None	1	None	15	[]	48	アクアファイター	/static/img/monsters/60x60/70.4ee5a3d0f93d.png	125.0	1000000	1	
14743	False	Aqua Knight	/static/img/monsters/40x40/71.c6105160165a.png	7572	3	Guard Break	400	71	0.7	6	None	0.7	293	0.7	41	149	117	1	None	888	None	1	None	50	[]	288	アクアナイト	/static/img/monsters/60x60/71.83dc7a4ece3a.png	338.0	1000000	1	
14478	False	Earth Fighter	/static/img/monsters/40x40/72.89fc0f56b53c.png	7515	2	Guard Break	176	72	0.7	3	None	0.7	293	0.7	9	47	45	1	None	345	None	2	None	15	[]	46	アースファイター	/static/img/monsters/60x60/72.478e838b83f7.png	125.0	1000000	1	
14444	False	Earth Knight	/static/img/monsters/40x40/73.4ae013c2b1ac.png	7380	3	Guard Break	413	73	0.7	6	None	0.7	293	0.7	41	158	108	1	None	863	None	2	None	50	[]	276	アースナイト	/static/img/monsters/60x60/73.7e5957a9a481.png	338.0	1000000	1	
14234	False	White Fighter	/static/img/monsters/40x40/74.ba0ba50ab1f1.png	7424	2	Guard Break	169	74	0.7	3	None	0.7	293	0.7	10	45	50	1	None	345	None	3	None	15	[]	46	ホワイトファイター	/static/img/monsters/60x60/74.108bc919b9ee.png	125.0	1000000	1	
14413	False	White Knight	/static/img/monsters/40x40/75.802a7879d3d9.png	7469	3	Guard Break	406	75	0.7	6	None	0.7	293	0.7	45	152	117	1	None	813	None	3	None	50	[]	276	ホワイトナイト	/static/img/monsters/60x60/75.4c6b32a3a379.png	338.0	1000000	1	
13841	False	Black Fighter	/static/img/monsters/40x40/76.7a29cf4e06b1.png	7306	2	Guard Break	173	76	0.7	3	None	0.7	293	0.7	8	46	40	1	None	338	None	4	None	15	[]	45	ブラックファイター	/static/img/monsters/60x60/76.b63a47ecee51.png	125.0	1000000	1	
14634	False	Black Knight	/static/img/monsters/40x40/77.04bece61903e.png	7401	3	Guard Break	419	77	0.7	6	None	0.7	293	0.7	36	156	100	1	None	875	None	4	None	50	[]	270	ブラックナイト	/static/img/monsters/60x60/77.81f1bea3d528.png	338.0	1000000	1	
14102	False	Flame Golem	/static/img/monsters/40x40/78.f00099475ee3.png	7195	3	Defensive Stance	316	78	1.0	6	Protector's Lore	1.0	293	1.0	8	101	33	1	None	819	None	0	8	25	[]	131	フレイムゴーレム	/static/img/monsters/60x60/78.2ab261695d7c.png	225.0	1500000	2	
13727	False	Flame Guardian	/static/img/monsters/40x40/79.7b862ee9af78.png	7061	4	Defensive Stance	782	79	1.0	9	Protector's Lore	1.0	293	1.0	30	284	54	1	None	2555	None	0	8	70	[]	655	フレイムガーディアン	/static/img/monsters/60x60/79.4d05286b2a13.png	488.0	1500000	2	
14077	False	Ice Golem	/static/img/monsters/40x40/80.5578721bfe4b.png	7191	3	Defensive Stance	300	80	1.0	6	Protector's Lore	1.0	293	1.0	9	96	38	1	None	825	None	1	8	25	[]	132	アイスゴーレム	/static/img/monsters/60x60/80.7f9548244dcd.png	225.0	1500000	2	
13954	False	Ice Guardian	/static/img/monsters/40x40/81.f3adec8ea092.png	7131	4	Defensive Stance	723	81	1.0	9	Protector's Lore	1.0	293	1.0	34	270	54	1	None	2672	None	1	8	70	[]	660	アイスガーディアン	/static/img/monsters/60x60/81.1090a09decdb.png	488.0	1500000	2	
13590	False	Earth Golem	/static/img/monsters/40x40/82.c4cf5f6c481b.png	7047	3	Defensive Stance	309	82	1.0	6	Protector's Lore	1.0	293	1.0	9	99	38	1	None	831	None	2	8	25	[]	133	アースゴーレム	/static/img/monsters/60x60/82.11926aeeb7ce.png	225.0	1500000	2	
13797	False	Earth Guardian	/static/img/monsters/40x40/83.28f03df9a971.png	7088	4	Defensive Stance	753	83	1.0	9	Protector's Lore	1.0	293	1.0	34	278	54	1	None	2613	None	2	8	70	[]	665	アースガーディアン	/static/img/monsters/60x60/83.eaca01d8c81e.png	488.0	1500000	2	
13368	False	Machine Golem	/static/img/monsters/40x40/84.da6cf7530342.png	7119	3	Armor Break	347	84	1.0	6	Protector's Lore	1.0	293	1.0	7	111	29	1	None	694	None	3	8	25	[]	111	マシンゴーレム	/static/img/monsters/60x60/84.d269cf1419ac.png	225.0	1500000	2	
13499	False	Machine Golem Mk.II	/static/img/monsters/40x40/85.a8d5ca4aae97.png	7118	4	Armor Break	928	85	1.0	9	Protector's Lore	1.0	293	1.0	26	312	70	1	None	2030	None	3	8	70	[]	555	マシンゴーレムMk-II	/static/img/monsters/60x60/85.86273753ff96.png	488.0	1500000	2	
12843	False	Dark Golem	/static/img/monsters/40x40/86.6ba987a7085d.png	6862	3	Armor Break	363	86	1.0	6	Protector's Lore	1.0	293	1.0	7	116	29	1	None	663	None	4	8	25	[]	106	ダークゴーレム	/static/img/monsters/60x60/86.d8372d41ef43.png	225.0	1500000	2	
14152	False	Dark Golem Mk.II	/static/img/monsters/40x40/87.302193c0b47f.png	7288	4	Armor Break	957	87	1.0	9	Protector's Lore	1.0	293	1.0	26	327	70	1	None	1972	None	4	8	70	[]	530	ダークゴーレムMk-II	/static/img/monsters/60x60/87.5596c79cf018.png	488.0	1500000	2	
13413	False	Naga	/static/img/monsters/40x40/88.57da796be6c3.png	7193	3	Menace	244	88	0.7	5	Inferno	0.7	293	0.7	31	39	258	1	None	263	None	0	None	25	[]	21	ナーガ	/static/img/monsters/60x60/88.feb0244332c8.png	200.0	1000000	3	
13733	False	Echidna	/static/img/monsters/40x40/89.b31defb91537.png	7165	4	Menace	502	89	0.7	8	Inferno	0.7	293	0.7	232	220	451	1	None	840	None	0	None	70	[]	210	エキドナ	/static/img/monsters/60x60/89.fe3c26759bc7.png	450.0	1000000	3	
13002	False	Mermaid	/static/img/monsters/40x40/90.dee01ba92938.png	6985	3	Guard Stance - Water	200	90	0.7	5	Healing Song	0.7	293	0.7	33	32	275	1	None	313	None	1	None	25	[]	25	マーメイド	/static/img/monsters/60x60/90.b94bf7675cf4.png	200.0	1000000	3	
14471	False	Siren	/static/img/monsters/40x40/91.f1cf7e744faa.png	7372	4	Guard Stance - Water	484	91	0.7	8	Healing Song	0.7	293	0.7	248	180	513	1	None	863	None	1	None	70	[]	250	セイレーン	/static/img/monsters/60x60/91.5d66bd8db70a.png	450.0	1000000	3	
13789	False	Dryad	/static/img/monsters/40x40/92.7705a82f535a.png	7169	3	Cure	219	92	0.7	5	Healing Prayer	0.7	293	0.7	32	35	267	1	None	275	None	2	None	25	[]	22	ドリヤード	/static/img/monsters/60x60/92.7a7241c62530.png	200.0	1000000	3	
14350	False	Mandrake	/static/img/monsters/40x40/93.34cce279376c.png	7362	4	Cure	490	93	0.7	8	Healing Prayer	0.7	293	0.7	240	197	498	1	None	805	None	2	None	70	[]	220	アルラウネ	/static/img/monsters/60x60/93.542b4c610680.png	450.0	1000000	3	
