ASListID	AwokenSkillOne	AwokenSkillTwo	AwokenSkillThree	AwokenSkillFour	AwokenSkillFive	AwokenSkillSix	AwokenSkillSeven	AwokenSkillEight	AwokenSkillNine
627	'Enhanced Light Attribute'	'Skill Boost'	'Recover Bind'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	
515	'Enhanced HP'	'Enhanced Light Orbs'	'Enhanced Heart Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
1666	'Enhanced Light Orbs'	'Skill Boost'	'Enhanced Water Orbs'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	NULL	
3001	'Enhanced Water Orbs'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3043	'Resistance-Dark'	'Resistance-Dark'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2630	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2954	'Enhanced Light Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	
3417	'Enhanced Light Orbs'	'Enhanced Fire Orbs'	'Enhanced Wood Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Skill Boost'	'Resistance-Skill Bind'	
1980	'Two-Pronged Attack'	'Skill Boost'	'Reduce Fire Damage'	'Reduce Fire Damage'	'Reduce Fire Damage'	'Reduce Fire Damage'	NULL	NULL	NULL	
410	'Enhanced Wood Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1113	'Extend Time'	'Skill Boost'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'God Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
1184	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2143	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1252	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
84	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1425	'Two-Pronged Attack'	'Resistance-Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
628	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3569	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Recover Bind'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Enhanced Combo'	NULL	NULL	
2934	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
968	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2617	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2264	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1833	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
3424	'Enhanced Wood Orbs'	'Enhanced Light Orbs'	'Skill Boost'	'Enhanced Combo'	'Enhanced Combo'	NULL	NULL	NULL	NULL	
1823	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1876	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1105	'Auto-Recover'	'Enhanced Dark Attribute'	'Extend Time'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
3375	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Resistance-Jammers'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Resistance-Bind'	'Resistance-Bind'	
1829	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	
775	'Enhanced Light Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2996	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2798	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2679	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
124	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1543	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
391	'Resistance-Bind'	'Resistance-Poison'	'Resistance-Poison'	'Resistance-Bind'	'God Killer'	'Machine Killer'	NULL	NULL	NULL	
1742	'Enhanced Wood Attribute'	'Enhanced Wood Orbs'	'Resistance-Jammers'	'Skill Boost'	'Dragon Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
751	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2678	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2304	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
681	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
544	'Enhanced Dark Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1172	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3068	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	
2748	'Resistance-Skill Bind'	'Skill Boost'	'Skill Boost'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Two-Pronged Attack'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	NULL	
3211	'Reduce Light Damage'	'Reduce Light Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
582	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2828	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2979	'Extend Time'	'Resistance-Skill Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Two-Pronged Attack'	NULL	
1230	'Enhanced Fire Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1052	'Enhanced Attack'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2291	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	NULL	NULL	NULL	
2690	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
682	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2215	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
244	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2285	'Enhanced Water Orbs'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
706	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
897	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1138	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
40	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
923	'Skill Boost'	'Enhanced Heart Orbs'	'Enhanced Dark Attribute'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	NULL	
3291	'Extend Time'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1302	'Enhanced Water Attribute'	'Enhanced Heart Orbs'	'Enhanced Fire Attribute'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	NULL	NULL	
916	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2274	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3302	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
593	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
32	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
796	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
231	'Two-Pronged Attack'	'Enhanced Wood Orbs'	'Enhanced HP'	NULL	NULL	NULL	NULL	NULL	NULL	
1415	'Enhanced Water Orbs'	'Resistance-Bind'	'Recover Bind'	'Resistance-Bind'	'Skill Boost'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	NULL	
3287	'Extend Time'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
811	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
492	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2033	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1751	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1665	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
382	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1149	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
495	'Resistance-Poison'	'Extend Time'	'Enhanced Wood Attribute'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
2281	'Enhanced Light Orbs'	'Two-Pronged Attack'	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	NULL	
1698	'Enhanced Wood Orbs'	'Resistance-Poison'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
888	'Resistance-Poison'	'Extend Time'	'Enhanced Wood Attribute'	'Resistance-Skill Bind'	'Multi Boost'	'Skill Boost'	NULL	NULL	NULL	
1827	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Recover Bind'	NULL	NULL	NULL	NULL	NULL	
1266	'Enhanced Wood Orbs'	'Enhanced Light Orbs'	'Enhanced Dark Orbs'	'Enhanced Wood Attribute'	'God Killer'	'Dragon Killer'	NULL	NULL	NULL	
2707	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1672	'Two-Pronged Attack'	'Skill Boost'	'Enhanced Wood Orbs'	'Resistance-Skill Bind'	'Enhanced Wood Orbs'	'Enhanced Heart Orbs'	NULL	NULL	NULL	
2648	'Skill Boost'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1864	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1300	'Enhanced Dark Orbs'	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Dragon Killer'	'Enhanced Dark Orbs'	NULL	NULL	NULL	
797	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1004	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
740	'Skill Boost'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2092	'Reduce Fire Damage'	'Reduce Fire Damage'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	
3450	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	'Resistance-Skill Bind'	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	'Extend Time'	'God Killer'	
805	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3013	'Skill Boost'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Resistance-Skill Bind'	NULL	
1706	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3390	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Auto-Recover'	'Recover Bind'	'Skill Boost'	'Two-Pronged Attack'	NULL	
3104	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	
1789	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
1648	'Resistance-Bind'	'Enhanced Fire Orbs'	'Enhanced Dark Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
57	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
629	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	
200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2406	'Enhanced Dark Attribute'	'Enhanced Dark Orbs'	'Enhanced Water Attribute'	'Recover Bind'	'Skill Boost'	'Skill Boost'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	NULL	
239	'Skill Boost'	'Auto-Recover'	'Recover Bind'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	
620	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2035	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1075	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2318	'Two-Pronged Attack'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Skill Boost'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Machine Killer'	NULL	NULL	
3354	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'God Killer'	'Extend Time'	'Two-Pronged Attack'	'Enhance Material Killer'	'Enhance Material Killer'	
898	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
160	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
609	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
370	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
187	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1298	'Enhanced Wood Orbs'	'Recover Bind'	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Extend Time'	'Enhanced Wood Attribute'	'Auto-Recover'	NULL	NULL	
3293	'Two-Pronged Attack'	'Enhanced Dark Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
395	'Two-Pronged Attack'	'Auto-Recover'	'Skill Boost'	'Enhanced Light Attribute'	'God Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
1114	'Skill Boost'	'Auto-Recover'	'Recover Bind'	'Extend Time'	'Machine Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
2771	'Two-Pronged Attack'	'Two-Pronged Attack'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Reduce Light Damage'	'Reduce Light Damage'	'Reduce Light Damage'	
3549	'Resistance-Bind'	'Resistance-Bind'	'Recover Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Multi Boost'	NULL	NULL	NULL	
2584	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
755	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Fire Attribute'	'Skill Boost'	'Devil Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
329	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
1097	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2024	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2983	'Enhanced Wood Orbs'	'Recover Bind'	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	NULL	
3266	'Enhanced Dark Orbs'	'Recover Bind'	'Extend Time'	'Extend Time'	'Skill Boost'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	
2256	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Auto-Recover'	'Auto-Recover'	NULL	NULL	NULL	NULL	
8	'Enhanced HP'	'Enhanced Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
227	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2078	'Skill Boost'	'Resistance-Bind'	'Extend Time'	'Resistance-Bind'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Recover Bind'	
1507	'Two-Pronged Attack'	'Resistance-Bind'	'Skill Boost'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	
191	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
608	'Reduce Fire Damage'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
62	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2421	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2144	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Extend Time'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Heart Orbs'	NULL	NULL	
164	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2234	'Enhanced Dark Orbs'	'Extend Time'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	
3399	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1118	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3082	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
3351	'Two-Pronged Attack'	'Two-Pronged Attack'	'Extend Time'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
798	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2028	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2525	'Enhanced Dark Attribute'	'God Killer'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1652	'Enhanced Water Orbs'	'Skill Boost'	'Two-Pronged Attack'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
1100	'Resistance-Dark'	'Enhanced Heal'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	NULL	
510	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
209	'Auto-Recover'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2942	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1618	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2027	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2604	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2248	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
973	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Enhanced Heart Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
1338	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
255	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2510	'Enhanced Light Orbs'	'Resistance-Jammers'	'Resistance-Dark'	'Resistance-Skill Bind'	'Enhanced Fire Orbs'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Two-Pronged Attack'	
2930	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2008	'Two-Pronged Attack'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
33	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2283	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2744	'Enhanced Fire Attribute'	'Recover Bind'	'Enhanced Fire Orbs'	'Extend Time'	'Enhanced Fire Attribute'	'Resistance-Bind'	'Resistance-Bind'	'Devil Killer'	NULL	
1067	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3308	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3514	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Skill Boost'	
979	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3212	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1729	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Enhanced Heart Orbs'	'Skill Boost'	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Reduce Water Damage'	'Guard Break'	'Enhanced Combo'	
2538	'Two-Pronged Attack'	'Enhanced Light Attribute'	'Skill Boost'	'Skill Boost'	'Dragon Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2922	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Combo'	'Balanced Killer'	NULL	
754	'Enhanced Dark Orbs'	'Enhanced Fire Orbs'	'Enhanced Water Orbs'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	
547	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2320	'Skill Boost'	'Enhanced Wood Attribute'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	NULL	
2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3386	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Skill Boost'	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Extend Time'	
2561	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Skill Boost'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	
2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1250	'Reduce Dark Damage'	'Auto-Recover'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
960	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
409	'Enhanced Water Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2581	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
78	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2064	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2253	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	NULL	
3487	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Enhanced Fire Attribute'	'Skill Boost'	'Enhanced Fire Attribute'	'Skill Boost'	'Extend Time'	'Enhanced Combo'	
622	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3499	'Enhanced Wood Attribute'	'Enhanced Wood Orbs'	'Resistance-Jammers'	'Skill Boost'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	
1084	'Reduce Dark Damage'	'Reduce Dark Damage'	'Extend Time'	'Skill Boost'	'Enhanced Dark Orbs'	'Enhanced Dark Attribute'	'Enhanced Dark Orbs'	'Enhanced Dark Attribute'	'Skill Boost'	
