name	effect	
かならずたおしてみせる！	Water attribute & Balanced type cards ATK x2.5.	
ちっ…しょうがないな……	Balanced type cards ATK x1.5, RCV x1.5.	
チャレンジ・ザ・トリプル	All attribute cards ATK x3.1 when attacking with Wood, Light & Dark orb types at the same time.	
ベリーベリーストロベリー	50% Fire damage reduction.	
12天使の理力	Physical type cards HP x1.2, ATK x3, RCV x1.2.	
A!	God type cards ATK x1.5, RCV x1.5.	
Aaaaahhhhh!!	Physical & Attacker attribute cards ATK x3 when HP is less than 79%. ATK x6 when HP is greater than 80%. Heal RCV x10 as HP after every orbs elimination.	
AAA Wunder's Original Master	Healer & Machine type cards HP x2, ATK x2.	
Abandon All Hope	Dark attribute cards ATK x3 at 5 combos or above.	
Abomination	50% HP reduction. Attacker type cards ATK x3.	
Absolute Chaos	Dark attribute & Machine type cards ATK x2.5. Machine type cards HP x1.5.	
Abyssal Dragon Scale	Dragon & Devil type cards ATK x3. 50% Light damage reduction.	
Abyssal Dragon's Guidance	Dragon type cards HP x1.5, ATK x3.	
Abyssal Dragon's Teaching Ritual	Dragon & Machine type cards HP x1.5, ATK x3. All attribute cards ATK x2.5 when reaching Dark & Light combos.	
Abyssal Guard	50% Light damage reduction.	
Abyssal Hunger	All attribute cards ATK x3.5 when reaching Dark, Dark & Wood or Dark & Wood & Wood combos. ATK x2.5 for each additional combo, up to ATK x6 when reaching Dark, Dark, Wood & Wood 4 combos combination.	
Abyssal Release	All attribute cards ATK x3.5 when reaching Wood, Wood & Dark or Wood & Dark & Dark combos. Change the board to 7x6 size.	
Abyssal Tide	Attacker type cards ATK x1.35, RCV x1.35. ATK x3 when simultaneously clearing 6 connected Water orbs.	
Abyssal Transfiguration	Change the board to 7x6 size. All attribute cards ATK x5 when reaching Wood, Wood & Dark or Wood & Dark & Dark combos.	
abyss of the nile	All attribute cards ATK x3 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark. Water attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Abyss of the Nile	All attribute cards ATK x3 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark. Water attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
A Century of Slumber	Balanced & Devil type cards HP x1.5, RCV x1.5.	
Acrobatic Combat	Balanced type cards HP x1.5, ATK x2.5.	
Aero Mist	Machine type cards HP x1.5, ATK x1.5, RCV x1.5.	
Aero Stream	Physical type cards ATK x2, RCV x2.	
Aetherial Pulse	ATK x2.5 when simultaneously clearing 5 connected Heart orbs. ATK x0.5 for each additional orb, up to ATK x3 at 6 connected orb. Reduce damage taken by 50% after matching Heal orbs in a cross formation.	
A fair fight, huh?	ATK x2 when simultaneously clearing 4 connected Dark orbs.	
A Girl Worried About the Chaotic World	Healer type cards ATK x2.	
All I want is to make Hana leader!	All attribute cards ATK x2, RCV x2 when reaching Fire & Fire combos.	
All right!! Time for lunch!	Wood attribute cards ATK x1.5. RCV x2.5 when matching exactly 4 connected heart orbs.	
All things in the universe turn to ash! Ryujinjakka!	Fire attribute cards ATK x2.5. ATK x4 when simultaneously clearing 6 connected Fire orbs.	
Alluring Sonata	All attribute cards ATK x5 when Earth Light Carbuncle , Moonlight Carbuncle in the same team.	
Alluring Swordplay	Light attribute cards ATK x5. Water attribute cards HP x1.5. ATK x2 when simultaneously clearing 6 connected Light orbs.	
A Lost Lamb	Healer type cards ATK x1.5, RCV x1.5.	
Alright, go ahead!	Dragon type cards HP x1.5, RCV x1.5.	
Alright, prepare yourself!	Wood attribute cards HP x1.5, ATK x3. All attribute cards RCV x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Alright, say Cheese!!	Machine type cards ATK x1.5, RCV x1.5.	
alt. draco summoning pitch	Dragon type cards HP x1.35, ATK x1.35. All attribute cards ATK x2 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark. ATK x2 for each additional orb type, up to ATK x4 for all 5 matches.	
Alt. Draco Summoning Pitch	Dragon type cards HP x1.35, ATK x1.35. All attribute cards ATK x2 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark. ATK x2 for each additional orb type, up to ATK x4 for all 5 matches.	
Alt. Five Origin Dragon Star Attack	Dragon type cards HP x2, ATK x1.5. All attribute cards ATK x2 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark. ATK x2 for each additional orb type, up to ATK x4 for all 5 matches.	
Ambitious Strike	Devil type cards HP x1.25. Devil type cards ATK x3.5 when HP is greater than 50%.	
Amethyst Converter	Machine type cards ATK x3. Dark attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Amitan's Protection	Heal RCV x3 as HP after every orbs elimination.	
Amol Dherrsaiqa	Attacker type cards HP x1.2. Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Amol Selseila	Fire attribute cards HP x1.5, ATK x2.5. Fire attribute cards ATK x1.3 on the turn a skill is used. ( Multiple skills will not stack )	
Amon's Royal Sword	Matched attribute ATK x3.5 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
An Ability Awakens!	Fusing this card to another will result in an 100% awakening.	
An Ability Awakens?	Fusing this card to another may result in an awakening. ( Low success rate )	
Ancient Dragon Tribe's Bloodline	Balanced & Dragon type cards ATK x2.5, RCV x2.5.	
Ancient Dragon Tribe's Quintessence	Balanced & Dragon type cards ATK x2.5, RCV x2.5. ATK x1.5 when simultaneously clearing 4 connected Wood orbs.	
Ancient Turtle's Shell	20% all damage reduction.	
Ancient Yell	Water attribute cards ATK x1.5, RCV x1.5.	
Angelo	All attribute cards ATK x2 when reaching 1 set of Water combo. ATK x1 for each additional combo, up to ATK x4 when reaching 3 combos.	
Angel's Song	All attribute cards ATK x2.5 when attacking with Fire, Water & Wood orb types at the same time.	
Angel Wing	Water attribute cards ATK x2. All attribute cards ATK x2 when reaching 2 set of Water combos. ATK x1 for each additional combo, up to ATK x4 when reaching 4 combos.	
Annihilating Divine Will	All attribute cards ATK x3 when reaching Wood & Wood combos. 20% all damage reduction.	
Anryu Hiha	No skyfall matches. Dark attribute cards ATK x5. Deal ATK x30 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Anryu Tenha	No skyfall matches. Dark attribute cards ATK x6. Deal ATK x30 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Answer my sword at full strength.	All attribute cards ATK x4 when reaching 6 combos or above. Deal ATK x5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Anyway, let's begin !	Attacker type cards ATK x1.5, RCV x1.5.	
apocalypse dawn	God & Devil type cards HP x1.35, ATK x1.35, RCV x1.35. ATK x3 when simultaneously clearing 6 connected Dark orbs.	
Apocalyptic Discharge	ATK x4 when simultaneously clearing 3 connected Jammer orbs. ATK x1 for each additional orb, up to ATK x10 at 9 connected orb. All attribute cards ATK x1.5 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark. ATK x1.5 for each additional orb type, up to ATK x4.5 for all 5 matches.	
Appetite for Knowledge	All attribute cards ATK x6 when reaching Heart & Heart combos. Increases time limit of orb movement by 2 seconds.	
Aqua Harmony	Water attribute cards ATK x2.5 at 4 combos or above.	
Aqua Steel Star of Sagittarius	No skyfall matches. Water attribute cards ATK x2.5, RCV x2.5. ATK x3 when simultaneously clearing 6 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x4.5 at 9 connected orb.	
arbiter's word	Dark attribute cards HP x1.35, ATK x1.35. All attribute cards ATK x4 when HP is less than 50%. ATK x3 when HP is less than 80%.	
Arbiter's Word	Dark attribute cards HP x1.5, ATK x1.5. All attribute cards ATK x4 when HP is less than 50%. ATK x3 when HP is less than 80%.	
Arcadia's Radiance	Machine type cards ATK x2, RCV x2.	
Archdemon's Soul	Devil type cards ATK x2, RCV x2.	
Arc Slash	Attacker type cards ATK x2.5.	
Arctic Fireclaw	Attacker & Devil type cards HP x2, ATK x2. All attribute cards ATK x3.5 when reaching Fire & Water combos.	
A real man fights for his woman!	Light attribute cards ATK x2.5, RCV x2.5. Increases time limit of orb movement by 3 seconds.	
Are you hurt...?	Physical type cards HP x1.5, ATK x2.	
Are you so afraid of me?	No skyfall matches. Light attribute cards All Stats x1.5. All attribute cards ATK x3 when reaching 2 set of Light combos. ATK x3 for each additional combo, up to ATK x6 when reaching 3 combos.	
Aries's Lunar Mechanical Star	RCV x2.5 when matching exactly 4 connected heart orbs. Matched attribute ATK x5 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Army of One	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark. ATK x2 when simultaneously clearing 5 connected Light orbs.	
Artisan Warrior Power	Devil type cards HP x2, ATK x2.	
Ascendant Majesty	Attacker type cards HP x1.35, ATK x3. All attribute cards RCV x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Ascendant Performance	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
Ascending Dance	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
Ascension's Noble Path	ATK x2.5 when simultaneously clearing 6 connected Wood orbs. ATK x0.5 for each additional orb, up to ATK x4 at 9 connected orb. Wood attribute cards ATK x2, RCV x2 on the turn a skill is used. ( Multiple skills will not stack )	
As destined for the Nanto General!	All attribute cards ATK x1.5 when reaching 1 set of Heart combo. ATK x1 for each additional combo, up to ATK x2.5 when reaching 2 combos. ATK x2 when simultaneously clearing 4 connected Light orbs. ATK x0.5 for each additional orb, up to ATK x3 at 6 connected orb.	
As expected of P.A.D.	Balanced type cards HP x2, ATK x2.	
Ask yourself	Light attribute cards HP x2, RCV x1.5. Light attribute cards ATK x2 on the turn a skill is used. ( Multiple skills will not stack )	
Asmegin Unleashed	Light attribute cards ATK x2.5, RCV x2.5. Light attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Assize	ATK x3 when simultaneously clearing 5 connected Heart orbs. ATK x1 for each additional orb, up to ATK x6 at 8 connected orb. Reduce damage taken by 50% after matching Heal orbs in a cross formation.	
Astral Arms	Devil & Machine type cards ATK x3, RCV x1.5. All attribute cards ATK x2 when attacking with 5 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
Astroseismic Causality	All attribute cards ATK x2 when attacking with 2 of following orb types: Light, Dark & Heart. ATK x1.5 for each additional orb type, up to ATK x3.5 for all 3 matches.	
A Sturdy Pumpkin	Physical type cards HP x1.5, RCV x1.5.	
Asura Buster	Can no longer clear 3 connected orbs. All attribute cards All Stats x1.5. All attribute cards ATK x2 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark. ATK x1 for each additional orb type, up to ATK x3 for all 4 matches.	
Ataru's Muscle Spark	Physical & Attacker type cards ATK x1.5, RCV x1.5. ATK x2.5 at 3 combos. ATK x0.5 for each additional combo, up to ATK x6 at 10 combos.	
A Taste Handed Down for Generations	Light attribute & Physical type cards HP x2, ATK x2.	
A.T. Field	10% all damage reduction.	
At Long Last	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	
Attack Hand	Fire attribute cards ATK x3 when HP is greater than 50%. Heal RCV x2 as HP after every orbs elimination.	
Attribute Enhancement	Dark & Water attribute cards ATK x2.	
Aurora Execution!!	Water attribute & Balanced type cards ATK x2.	
Auto Recover <Mid>	Heal RCV x2 as HP after every orbs elimination.	
A whipped dog who ran, ought not love his own bark.	ATK x3 for clearing each Dark orbs in a cross formation. All attribute cards ATK x2.5, RCV x2.5 on the turn a skill is used. ( Multiple skills will not stack )	
Axiom of Exorcism	No skyfall matches. Fire attribute cards HP x1.5, ATK x2. ATK x6, RCV x6 when reaching 8 combos. ATK x1,  RCV x1 for each additional combo, up to ATK x7, RCV x7 at 9 combos.	
Axiom of Nectar	No skyfall matches. 20% All damage reduction. All attribute cards ATK x3 when reaching 2 set of Water combos. ATK x3.5 for each additional combo, up to ATK x10 when reaching 4 combos.	
Axiom of Purity	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. ATK x1 for each additional orb type, up to ATK x6 for all 6 matches. Deal ATK x30 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Axiom of Salvation	No skyfall matches. Wood attribute cards All Stats x1.5. ATK x3 for clearing each Wood or Fire orbs in a cross formation.	
Axiom of Sustainment	ATK x3 at 5 combos. ATK x1 for each additional combo, up to ATK x6 at 8 combos. Deal ATK x30 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Azure Spring Dragon's Fangs	No skyfall matches. Water attribute cards ATK x1.5, RCV x1.5. All attribute cards ATK x5 when reaching exactly 7 combos.	
Backlash Wave	Attacker type cards ATK x1.5, RCV x1.5. All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. ATK x0.5 for each additional orb type, up to ATK x5 for all 6 matches.	
Bakusaiga	Balanced & Devil type cards HP x1.5, ATK x3.5. ATK x2 when simultaneously clearing 4 connected Heart orbs. ATK x0.5 for each additional orb, up to ATK x3 at 6 connected orb.	
Bamboo Cutter's Whirlwind	Wood attribute cards ATK x4, RCV x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Banishing Blade	Physical & Attacker type cards HP x2, ATK x2. All attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Banishing Order	Attacker type cards HP x1.25, ATK x1.25. All attribute cards ATK x3 when reaching Light & Light or Light & Fire combos.	
Bankai - Daiguren Hyorinmaru	ATK x2.5 when simultaneously clearing 5 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x5 at 10 connected orb.	
Bankai - Hihio Zabimaru	All attribute cards ATK x3 when reaching 5 combos or above.	
Bankai! Kamishininoyari	All attribute cards ATK x1.5 when reaching 3 combos or above. Increases time limit of orb movement by 13 seconds.	
Bankai - Konjiki Ashisogijizo	All attribute cards ATK x3 when reaching Dark & Wood combos. Increases time limit of orb movement by 1 seconds.	
Bankai - Senbonzakura Kageyoshi	All attribute cards ATK x3 when HP is greater than 50%. All attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Bankai - Tensa Zangetsu	All attribute cards ATK x2.5 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. ATK x0.5 for each additional orb type, up to ATK x3.5 for all 6 matches. All attribute cards ATK x2, RCV x2 on the turn a skill is used. ( Multiple skills will not stack )	
Banshee Curse	Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
Bat Charm	Dark attribute cards ATK x1.5, RCV x1.5. ATK x2 when simultaneously clearing 4 connected Dark orbs.	
Battleground Foresight	Healer type cards ATK x4.5. Increases time limit of orb movement by 3 seconds.	
Bat Vigilante	ATK x4 when simultaneously clearing 6 connected Dark orbs. ATK x2, reduce damage taken by 50% after matching Heal orbs in a cross formation.	
Bear Claws	Matched attribute ATK x3 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Beat Rush	ATK x5 when simultaneously clearing 7 connected Fire or Light orbs. Change the board to 7x6 size.	
Be careful...	Wood attribute cards RCV x1.5. ATK x3 when HP is less than 30%.	
Beg for mercy...	All attribute cards ATK x3 when reaching 2 set of Light combos. ATK x1 for each additional combo, up to ATK x4 when reaching 3 combos.	
Bellflower Crest	Devil type cards HP x1.5. Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Bellflower War Crest	All attribute cards ATK x2 when reaching Dark & Light combos. Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Beloved Daughter of the Gods	All attribute cards ATK x3 when reaching 2 set of Heart combos. ATK x3 for each additional combo, up to ATK x6 when reaching 3 combos. ATK x3, reduce damage taken by 50% after matching Heal orbs in a cross formation.	
Benefit of Megingjard	Light attribute & Physical type cards ATK x2, RCV x2.	
Berserk Soul	Devil type cards HP x1.5, ATK x1.5, RCV x1.5.	
Better drink water first...	Healer type cards ATK x2.5, RCV x1.5.	
Bewitching Fire Snake	ATK x4 when simultaneously clearing 8 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x5 at 10 connected orb.	
Big Bang Impact	All attribute cards ATK x3 when attacking with Fire & Light orb types at the same time.	
Big Survivor Increase	Machine type cards ATK x1.5.	
Black Dimension	Dark attribute cards ATK x4 when HP is less than 50%.	
Black Heart	All attribute cards ATK x3 when reaching 5 combos or above.	
Black Sea King's Jolly Roger	Dark attribute cards ATK x2.5 when HP is greater than 50%.	
Blade of the Four Origins	All attribute cards ATK x5 when attacking with Fire, Water, Wood & Dark orb types at the same time.	
Blade Torrent	All attribute cards ATK x3 when  combos. All attribute cards ATK x2 when reaching 4 combos or above.	
Blast God's Impulse	Fire attribute cards ATK x3.	
Blaze Counter	25% chance to deal counter Fire damage of 10x damage taken.	
Blazing Fire Fencing	Fire attribute cards ATK x3.5.	
Blazing Forest Barrier	50% Fire & Wood damage reduction.	
Blazing Moon Strike	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark. ATK x1 for each additional orb type, up to ATK x5 for all 5 matches. All attribute cards ATK x1.5, RCV x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Blazing Steel Star of Aquarius	All attribute cards ATK x3.5 when reaching 2 set of Fire combos. ATK x1.5 for each additional combo, up to ATK x5 when reaching 3 combos. Increases time limit of orb movement by 3 seconds.	
Blazing Storm	Fire attribute cards HP x1.5, ATK x1.5, RCV x1.5.	
Blazing Sun Chakra	All attribute cards ATK x1.5 when reaching 1 set of Fire combo. ATK x1.5 for each additional combo, up to ATK x4.5 when reaching 3 combos. Matched attribute ATK x1.5 when matching exactly 5 connected orbs with at least 1 enhanced orb.	
Blazing Wolf's Claw	Fire attribute cards ATK x2. Dragon type cards HP x1.5.	
Blazin' Hot	Increases time limit of orb movement by 5 seconds.	
Blessed Water Peacock	All attribute cards ATK x5 when reaching 3 set of Water combos.	
Blessing of Nike	God type cards ATK x3.	
Bloody Kaiser	Physical type cards ATK x3.	
Bloody Kiss	Dark attribute cards ATK x1.5.	
Bloody Rose!!	Water attribute & Healer type cards ATK x2.	
Blue Angel's Revelation	Water attribute cards HP x2, ATK x1.35, RCV x2.	
Blueberry Candy	Water attribute cards HP x1.3, RCV x1.3.	
Blue Dragon King's Flame	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. Dragon type cards ATK x1.35, RCV x1.35.	
Blue Dust	All attribute cards ATK x2.5 when reaching Water & Water combos.	
Blue Effect	Balanced type cards HP x2.	
Blue Flame Sky Circle	Fire attribute cards ATK x2. Water attribute cards RCV x1.5. All attribute cards ATK x1.5 on the turn a skill is used. ( Multiple skills will not stack )	
Blue Fruit Blessing	Water attribute cards HP x2, RCV x2.	
Blue Fruit Power	Water attribute cards HP x1.5, RCV x1.5.	
blue-green divine clock	Water attribute cards ATK x3 when HP is less than 50% ( Water attribute cards ATK x3.3 when HP is full. Water attribute cards ATK x3.15 when HP is greater than 50%. ). Wood attribute cards RCV x2.	
Blue-Green Divine Clock	Water attribute cards ATK x3 when HP is less than 50% ( Water attribute cards ATK x3.3 when HP is full. Water attribute cards ATK x3.15 when HP is greater than 50%. ). Wood attribute cards RCV x2.	
Blue Hail Glass	All attribute cards ATK x3 when reaching Water & Water or Water & Wood combos. ATK x0.5 for each additional combo, up to ATK x3.5 when reaching Water or Water & Wood 3 combos combination.	
Blue Hail Petals	Water attribute & Dragon type cards ATK x2.	
Blue Key Dragon Accompaniment	Water attribute cards ATK x2. 50% Water & Wood damage reduction. ATK x2.5 when simultaneously clearing 5 connected Water orbs.	
Blue Planet of the Dark	Water & Dark attribute cards HP x1.5, ATK x2.	
Blue Polar Dance	All attribute cards ATK x4 when attacking with 3 of following orb types: Water, Wood, Dark & Heart.	
Blue Sea King's Jolly Roger	Water attribute cards ATK x2.5 when HP is greater than 50%.	
Blue Shining Star	Water & Light attribute cards HP x1.5, ATK x2.	
Blue Steel Star of Aquarius	Machine type cards ATK x1.5, RCV x1.5. All attribute cards ATK x2.5 when reaching 2 set of Water combos. ATK x1 for each additional combo, up to ATK x3.5 when reaching 3 combos.	
Blue Steel Star of Sagittarius	No skyfall matches. Water attribute cards ATK x2.5, RCV x2.5. ATK x3 when simultaneously clearing 6 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.	
Bond Crystal	Devil type cards ATK x2, RCV x2. 100% chance to deal counter Dark damage of 2x damage taken.	
Bonding Divine Magic	Light attribute & Healer type cards ATK x2.5. 50% Water, Light & Dark damage reduction.	
Bond of the Heavenly Wind Dragon	Physical & Dragon type cards ATK x2.	
Bond of the Hidden Ocean Dragon	Balanced & Dragon type cards ATK x2.	
Bond of the Holy Hour Dragon	Dragon & Attacker type cards ATK x2.	
Bond of the Moon Shadow Dragon	Balanced & Dragon type cards ATK x2.	
Bond of the Wasteland Dragon	Healer & Dragon type cards ATK x2.	
Bouncy Body	20% all damage reduction.	
Boy Wonder	ATK x4 at 8 combos. ATK x2 for each additional combo, up to ATK x8 at 10 combos.	
Brave General's Noble Heart	All attribute cards HP x1.5, ATK x2.5, RCV x1.5 when Restrained Dragon Hero, Liu Bei in the same team.	
Brave General's Vanguard	All attribute cards HP x1.5, ATK x2.5, RCV x1.5 when Guardian Divine Emperor, Liu Bei in the same team.	
Braver	Attacker type cards HP x1.5, ATK x1.5.	
Breath of the Moon	Matched attribute ATK x4.5 when matching exactly 5 connected orbs with at least 1 enhanced orb. God type cards ATK x2, RCV x2.	
Brilliant Wit	Healer type cards ATK x3. All attribute cards HP x1.5 when Sacred Divine Flower, Xiao Qiao in the same team.	
Bring it on!	Attacker type cards ATK x2.	
Bun Bun Attack	All attribute cards ATK x2.5 when attacking with Fire, Water & Dark orb types at the same time.	
Burning Bravery	Healer & God type cards ATK x3. ATK x2 when simultaneously clearing 4 connected Fire orbs.	
Burning Dragon Power	Fire attribute cards ATK x3 when HP is full.	
Burning Emotion	Fire attribute cards HP x1.5, RCV x1.5. All attribute cards ATK x5 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
Burning Fencing	Fire attribute cards ATK x3.5.	
Burning Horn	Attacker type cards ATK x1.35, RCV x1.35. ATK x3 when simultaneously clearing 6 connected Fire orbs.	
Burning Instinct	Fire attribute cards HP x1.35, RCV x1.35. All attribute cards ATK x3.5 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
Burning Rage	Change the board to 7x6 size. All attribute cards ATK x3.5, RCV x1.5 when reaching Fire & Dark combos.	
Burning Soul	Fire attribute cards ATK x2.	
Burst Seven	All attribute cards ATK x4 when reaching 7 combos or above.	
Cah!!!	Heal RCV x10 as HP after every orbs elimination.	
Call of Gaia	Attacker type cards ATK x3.5, RCV x0.5.	
Camel Clutch	Attacker type cards ATK x1.5. ATK x2 when simultaneously clearing 6 connected Wood orbs.	
Cancer's Watery Mechanical Star	30% Fire & Water damage reduction. ATK x4 when simultaneously clearing 3 connected Jammer orbs. ATK x1 for each additional orb, up to ATK x6 at 5 connected orb.	
