MonsterID	MonsterName	MonsterNameJP	Rarity	AttributeOne	AttributeTwo	MonsterTypeOne	MonsterTypeTwo	MaxLevel	MaxHP	MaxATK	MaxRCV	NumOfAwokenSkills	UNKNOWN	LeaderSkillDesc	MonsterCost	ActiveSkillMaxCoolDown	ActiveSkillMaxLevel	ExperienceScale	MonsterTypeThree	UNKNOWNTWO
21	Lil' Red Dragon	レッドコドラ	2	1	0	1	0	15	240	150	45	0	0	..	2	10	6	150	0	0	
22	Red Dragon	レッドドラゴン	3	1	0	1	0	25	545	300	92	0	17	30% Fire damage reduction.	5	10	6	150	0	0	
23	Volcano Dragon	ボルケーノドラゴン	4	1	0	1	0	70	1412	1056	93	0	17	30% Fire damage reduction.	11	25	16	150	0	0	
24	Lil' Blue Dragon	ブルーコドラ	2	2	0	1	0	15	315	120	45	0	0	..	2	10	6	150	0	0	
25	Blue Dragon	ブルードラゴン	3	2	0	1	0	25	625	272	92	0	17	30% Water damage reduction.	5	10	6	150	0	0	
26	Aurora Dragon	オーロラドラゴン	4	2	0	1	0	70	1528	1003	101	0	17	30% Water damage reduction.	11	25	16	150	0	0	
27	Lil' Green Dragon	グリーンコドラ	2	3	0	1	0	15	300	139	50	0	0	..	2	10	6	150	0	0	
28	Green Dragon	グリーンドラゴン	3	3	0	1	0	25	600	291	100	0	17	30% Wood damage reduction.	5	10	6	150	0	0	
29	Earth Dragon	アースドラゴン	4	3	0	1	0	70	1505	1015	109	0	17	30% Wood damage reduction.	11	25	16	150	0	0	
30	Lil' White Dragon	ホワイトコドラ	2	4	0	1	0	15	255	128	55	0	0	..	2	10	6	150	0	0	
31	White Dragon	ホワイトドラゴン	3	4	0	1	0	25	556	283	108	0	17	30% Light damage reduction.	5	10	6	150	0	0	
32	Holy Dragon	ホーリードラゴン	4	4	0	1	0	70	1447	1027	117	0	17	30% Light damage reduction.	11	25	16	150	0	0	
33	Lil' Black Dragon	ブラックコドラ	2	5	0	1	0	15	278	158	45	0	0	..	2	10	6	150	0	0	
34	Black Dragon	ブラックドラゴン	3	5	0	1	0	25	563	313	92	0	17	30% Dark damage reduction.	5	10	6	150	0	0	
35	Devil Dragon	デビルドラゴン	4	5	0	1	0	70	1470	1044	86	0	17	30% Dark damage reduction.	11	25	16	150	0	0	
36	Flamie	ホノりん	1	1	0	2	0	10	195	105	30	0	0	..	1	0	0	100	0	0	
37	Big Flamie	デカホノりん	2	1	0	2	0	30	480	323	50	0	0	..	3	11	7	100	0	0	
38	Bubblie	アワりん	1	2	0	2	0	10	215	93	30	0	0	..	1	0	0	100	0	0	
39	Big Bubblie	デカアワりん	2	2	0	2	0	30	518	296	55	0	0	..	3	11	7	100	0	0	
40	Woodsie	モリりん	1	3	0	2	0	10	205	90	37	0	0	..	1	0	0	100	0	0	
41	Big Woodsie	デカモリりん	2	3	0	2	0	30	503	311	65	0	0	..	3	12	7	100	0	0	
42	Shynee	ヒカりん	1	4	0	2	0	10	195	98	33	0	0	..	1	0	0	100	0	0	
43	Big Shynee	デカヒカりん	2	4	0	2	0	30	488	304	60	0	0	..	3	11	7	100	0	0	
44	Baddie	ワルりん	1	5	0	2	0	10	205	108	27	0	0	..	1	0	0	100	0	0	
45	Big Baddie	デカワルりん	2	5	0	2	0	30	503	319	45	0	0	..	3	11	7	100	0	0	
46	Red Carbuncle	レッドカーバンクル	1	1	0	4	0	10	180	60	83	0	0	..	2	10	6	100	0	0	
47	Ruby Carbuncle	ルビーカーバンクル	2	1	0	4	0	30	315	139	175	0	0	..	5	10	6	100	0	0	
48	Blue Carbuncle	ブルーカーバンクル	1	2	0	4	0	10	182	55	85	0	0	..	2	10	6	100	0	0	
49	Sapphire Carbuncle	サファイアカーバンクル	2	2	0	4	0	30	308	135	185	0	0	..	5	10	6	100	0	0	
50	Green Carbuncle	グリーンカーバンクル	1	3	0	4	0	10	175	55	87	0	0	..	2	10	6	100	0	0	
51	Emerald Carbuncle	エメラルドカーバンクル	2	3	0	4	0	30	308	135	180	0	0	..	5	10	6	100	0	0	
52	Yellow Carbuncle	イエローカーバンクル	1	4	0	4	0	10	170	53	90	0	0	..	2	10	6	100	0	0	
53	Topaz Carbuncle	トパーズカーバンクル	2	4	0	4	0	30	300	131	190	0	0	..	5	10	6	100	0	0	
54	Purple Carbuncle	パープルカーバンクル	1	5	0	4	0	10	173	63	80	0	0	..	2	10	6	100	0	0	
55	Amethyst Carbuncle	アメジストカーバンクル	2	5	0	4	0	30	293	146	170	0	0	..	5	10	6	100	0	0	
56	Red Goblin	レッドゴブリン	1	1	0	5	0	10	310	155	17	0	0	..	2	0	0	150	0	0	
57	Samurai Goblin	武者ゴブリン	2	1	0	5	0	30	600	525	35	0	0	..	5	11	7	150	0	0	
58	Blue Goblin	ブルーゴブリン	1	2	0	5	0	10	335	143	13	0	0	..	2	0	0	150	0	0	
59	Marine Goblin	マリンゴブリン	2	2	0	5	0	30	638	518	30	0	0	..	5	11	7	150	0	0	
60	Goblin	ゴブリン	1	3	0	5	0	10	325	148	10	0	0	..	2	0	0	150	0	0	
61	Hobgoblin	ホブゴブリン	2	3	0	5	0	30	623	506	25	0	0	..	5	12	7	150	0	0	
62	Red Ogre	レッドオーガ	2	1	0	3	0	15	630	315	5	0	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	4	0	0	150	0	0	
63	Samurai Ogre	サムライオーガ	3	1	0	3	0	50	1775	888	8	2	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	7	13	8	150	0	0	
64	Blue Ogre	ブルーオーガ	2	2	0	3	0	15	623	308	5	0	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	4	0	0	150	0	0	
65	Ice Ogre	アイスオーガ	3	2	0	3	0	50	1900	875	8	2	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	7	13	8	150	0	0	
66	Ogre	オーガ	2	3	0	3	0	15	615	296	5	0	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	4	0	0	150	0	0	
67	Armor Ogre	アーマーオーガ	3	3	0	3	0	50	1838	856	8	2	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	7	13	8	150	0	0	
68	Flame Fighter	フレイムファイター	2	1	0	2	0	15	330	180	40	0	0	..	3	15	10	100	0	0	
69	Flame Knight	フレイムナイト	3	1	0	2	0	50	838	444	100	0	0	..	6	15	10	100	0	0	
70	Aqua Fighter	アクアファイター	2	2	0	2	0	15	360	165	45	0	0	..	3	15	10	100	0	0	
71	Aqua Knight	アクアナイト	3	2	0	2	0	50	888	400	117	0	0	..	6	15	10	100	0	0	
72	Earth Fighter	アースファイター	2	3	0	2	0	15	345	176	45	0	0	..	3	15	10	100	0	0	
73	Earth Knight	アースナイト	3	3	0	2	0	50	863	413	108	0	0	..	6	15	10	100	0	0	
74	White Fighter	ホワイトファイター	2	4	0	2	0	15	345	169	50	0	0	..	3	15	10	100	0	0	
75	White Knight	ホワイトナイト	3	4	0	2	0	50	813	406	117	0	0	..	6	15	10	100	0	0	
76	Black Fighter	ブラックファイター	2	5	0	2	0	15	338	173	40	0	0	..	3	15	10	100	0	0	
77	Black Knight	ブラックナイト	3	5	0	2	0	50	875	419	100	0	0	..	6	15	10	100	0	0	
78	Flame Golem	フレイムゴーレム	3	1	0	3	12	25	819	316	33	0	16	10% all damage reduction.	6	20	6	150	0	0	
79	Flame Guardian	フレイムガーディアン	4	1	0	3	12	70	2555	782	54	0	16	10% all damage reduction.	9	20	6	150	0	0	
80	Ice Golem	アイスゴーレム	3	2	0	3	12	25	825	300	38	0	16	10% all damage reduction.	6	20	6	150	0	0	
81	Ice Guardian	アイスガーディアン	4	2	0	3	12	70	2672	723	54	0	16	10% all damage reduction.	9	20	6	150	0	0	
82	Earth Golem	アースゴーレム	3	3	0	3	12	25	831	309	38	0	16	10% all damage reduction.	6	20	6	150	0	0	
83	Earth Guardian	アースガーディアン	4	3	0	3	12	70	2613	753	54	0	16	10% all damage reduction.	9	20	6	150	0	0	
84	Machine Golem	マシンゴーレム	3	4	0	3	12	25	694	347	29	0	16	10% all damage reduction.	6	17	8	150	0	0	
85	Machine Golem Mk.II	マシンゴーレムMk-II	4	4	0	3	12	70	2030	928	70	0	16	10% all damage reduction.	9	17	8	150	0	0	
86	Dark Golem	ダークゴーレム	3	5	0	3	12	25	663	363	29	0	16	10% all damage reduction.	6	17	8	150	0	0	
87	Dark Golem Mk.II	ダークゴーレムMk-II	4	5	0	3	12	70	1972	957	70	0	16	10% all damage reduction.	9	17	8	150	0	0	
88	Naga	ナーガ	3	1	0	4	0	25	263	244	258	0	12	Deal ATK x0.5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	5	15	6	100	0	0	
89	Echidna	エキドナ	4	1	0	4	0	70	840	502	451	0	12	Deal ATK x0.5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	8	15	6	100	0	0	
90	Mermaid	マーメイド	3	2	0	4	0	25	313	200	275	0	13	Heal RCV x1 as HP after every orbs elimination.	5	11	7	100	0	0	
91	Siren	セイレーン	4	2	0	4	0	70	863	484	513	0	13	Heal RCV x1 as HP after every orbs elimination.	8	11	7	100	0	0	
92	Dryad	ドリヤード	3	3	0	4	0	25	275	219	267	0	13	Heal RCV x0.5 as HP after every orbs elimination.	5	20	11	100	0	0	
93	Mandrake	アルラウネ	4	3	0	4	0	70	805	490	498	0	13	Heal RCV x0.5 as HP after every orbs elimination.	8	20	11	100	0	0	
94	Cupid	キューピッド	3	4	0	4	0	25	275	175	283	0	13	Heal RCV x1 as HP after every orbs elimination.	5	10	6	100	0	0	
95	Angel	エンジェル	4	4	0	4	0	70	817	461	529	0	13	Heal RCV x1 as HP after every orbs elimination.	8	10	6	100	0	0	
96	Succubus	サキュバス	3	5	0	4	0	25	288	263	250	0	15	Increases time limit of orb movement by 1.5 seconds.	5	15	6	100	0	0	
97	Lilith	リリス	4	5	0	4	0	70	840	525	443	0	15	Increases time limit of orb movement by 1.5 seconds.	8	15	6	100	0	0	
98	Mystic Flame Knight	炎の魔剣士	3	1	0	2	0	25	650	388	125	0	17	30% Fire damage reduction.	6	9	5	150	0	0	
99	Phoenix Knight	フェニックスナイト	4	1	0	2	0	70	1330	869	288	0	17	30% Fire damage reduction.	9	9	5	150	0	0	
100	Mystic Ice Knight	氷の魔剣士	3	2	0	2	0	25	638	413	100	0	17	30% Water damage reduction.	6	9	5	150	0	0	
101	Fenrir Knight	フェンリルナイト	4	2	0	2	0	70	1213	928	241	0	17	30% Water damage reduction.	9	9	5	150	0	0	
102	Mystic Stone Knight	岩の魔剣士	3	3	0	2	0	25	700	400	108	0	17	30% Wood damage reduction.	6	9	5	150	0	0	
103	Dragon Knight	ドラゴンナイト	4	3	0	2	0	70	1272	898	249	0	17	30% Wood damage reduction.	9	9	5	150	0	0	
104	Mystic Light Knight	光の魔剣士	3	4	0	2	0	25	675	381	117	0	17	30% Light damage reduction.	6	9	5	150	0	0	
105	Verche	ヴァーチェ	4	4	0	2	0	70	1237	887	280	0	17	30% Light damage reduction.	9	9	5	150	0	0	
106	Titan	タイタン	3	1	0	3	0	25	963	575	8	0	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	7	11	7	150	0	0	
107	Gigas	ギガンテス	4	1	0	3	0	70	3150	1163	0	0	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	10	11	7	400	0	0	
108	Mystic Dark Knight	闇の魔剣士	3	5	0	2	0	25	688	406	100	0	17	30% Dark damage reduction.	6	9	5	150	0	0	
109	Dark Dragon Knight	ダークドラゴンナイト	4	5	0	2	0	70	1307	916	233	0	17	30% Dark damage reduction.	9	9	5	150	0	0	
110	Vampire	ヴァンパイア	3	5	0	2	0	25	763	381	125	0	0	..	6	11	7	150	0	0	
111	Vampire Lord	ヴァンパイアロード	4	5	0	2	0	70	1725	999	319	0	11	Dark attribute cards ATK x2.	10	11	7	400	0	1	
112	Salamander	サラマンダー	4	1	0	1	0	35	998	468	117	0	11	 attribute cards ATK x1.5.	7	20	11	150	0	1	
113	Ifrit	イフリート	5	1	0	1	0	99	2327	1238	220	3	11	Fire attribute cards ATK x2. Increases time limit of orb movement by 2 seconds.	13	26	23	400	0	1	
114	Sea Serpent	シーサーペント	4	2	0	1	0	35	1076	462	117	0	11	Water attribute cards ATK x1.5.	7	20	11	150	0	1	
115	Leviathan	リヴァイアサン	5	2	0	1	0	99	2409	1205	231	3	11	Water attribute cards ATK x2.	13	26	23	400	0	1	
116	Dragonette	ドラゴネット	4	3	0	1	0	35	971	501	105	0	11	Wood attribute cards ATK x1.5.	7	20	11	150	0	1	
117	Fafnir	ファフニール	5	3	0	1	0	99	2360	1262	231	3	11	Wood attribute cards ATK x2.	13	29	23	400	0	1	
118	Ivory Dragon	白龍	4	4	0	1	0	35	945	473	134	0	11	Light attribute cards ATK x1.5.	7	20	11	150	0	1	
119	Divinegon	神龍	5	4	0	1	6	99	2277	1213	275	3	11	Light attribute cards ATK x2.	13	29	22	400	0	1	
120	Basilisk	バジリスク	4	5	0	1	0	35	1015	508	82	0	11	Dark attribute cards ATK x1.5.	7	20	11	150	0	1	
121	Tiamat	ティアマット	5	5	0	1	0	99	2310	1254	198	3	11	Dark attribute cards ATK x2.	13	26	23	400	0	1	
122	Minerva	ミネルヴァ	5	1	0	6	0	50	1575	900	192	0	17	50% Fire damage reduction.	15	10	8	400	0	1	
123	War Deity Minerva	戦女神・ミネルヴァ	6	1	1	6	0	99	2869	1359	418	4	17	50% Fire damage reduction.	20	10	8	400	0	0	
124	Neptune	ネプチューン	5	2	0	6	0	50	1600	894	183	0	17	50% Water damage reduction.	15	20	6	400	0	1	
125	Sea Deity Neptune	海王神・ネプチューン	6	2	2	6	0	99	2902	1351	407	4	17	50% Water damage reduction.	20	20	6	400	0	0	
126	Ceres	セレス	5	3	0	6	0	50	1388	750	317	0	17	50% Wood damage reduction.	15	20	11	400	0	1	
127	Fertility Deity Ceres	豊穣神・セレス	6	3	3	6	0	99	2374	1061	681	4	17	50% Wood damage reduction.	20	20	11	400	0	0	
128	Venus	ヴィーナス	5	4	0	6	0	50	1313	769	342	0	17	50% Light damage reduction.	15	20	8	400	0	1	
129	Love Deity Venus	慈愛神・ヴィーナス	6	4	4	6	0	99	2275	1086	625	4	17	50% Light damage reduction.	20	20	8	400	0	0	
130	Hades	ハーデス	5	5	0	6	0	50	1425	863	175	0	17	50% Dark damage reduction.	15	30	18	400	0	1	
131	Underlord Hades	冥界神・ハーデス	6	5	5	6	0	99	2671	1410	396	4	17	50% Dark damage reduction.	20	30	18	400	0	0	
132	Kagutsuchi	カグツチ	5	1	0	6	0	50	1538	825	217	0	12	Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	15	20	16	400	0	1	
133	Hino Kagutsuchi	ヒノカグツチ	6	1	1	6	0	99	2820	1460	451	4	12	Deal ATK x5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	20	20	16	400	0	0	
134	Viper Orochi	オロチ	5	2	0	6	0	50	1650	881	167	0	14	While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	15	25	6	400	0	1	
135	Demon Viper Orochi	ヤマタノオロチ	6	2	2	6	0	99	3090	1150	222	4	14	While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	20	25	6	400	0	0	
136	Susano	スサノオ	5	3	0	6	0	50	1500	844	142	0	16	20% all damage reduction.	15	20	6	400	0	1	
137	Susano no Mikoto	スサノオノミコト	6	3	3	6	0	99	2970	1186	298	4	16	20% all damage reduction.	20	20	6	400	0	0	
138	Amaterasu	アマテラス	5	4	0	6	0	50	1463	788	283	0	13	Heal RCV x1 as HP after every orbs elimination.	15	20	11	400	0	1	
139	Amaterasu Ohkami	アマテラスオオカミ	6	4	4	6	0	99	2321	1111	652	4	13	Heal RCV x5 as HP after every orbs elimination.	20	20	11	400	0	0	
140	Yomi	ヨミ	5	5	0	6	0	50	1350	806	192	0	15	Increases time limit of orb movement by 3 seconds.	15	20	8	400	0	1	
141	Tsuku Yomi	ツクヨミ	6	5	5	6	0	99	2772	1336	495	4	15	Increases time limit of orb movement by 5 seconds.	20	20	8	400	0	0	
142	Flamedragon Muspelheim	炎龍・ムスプルヘイム	6	1	0	1	0	99	3018	1408	142	2	17	50% Fire damage reduction.	25	26	23	400	0	0	
143	Ice Dragon Niflheim	氷龍・ニブルヘイム	6	2	0	1	0	99	3165	1332	153	2	17	50% Water damage reduction.	25	26	23	400	0	0	
144	Isle Dragon Yggdrasil	島龍・ユグドラシル	6	3	0	1	0	99	3197	1307	175	2	17	50% Wood damage reduction.	25	26	23	400	0	0	
145	Mechadragon Valhalla	機龍・ヴァルハラ	6	4	0	1	12	99	3050	1356	164	2	17	50% Light damage reduction.	25	29	22	400	0	0	
146	Evil Dragon Helheim	邪龍・ヘルヘイム	6	5	0	1	0	99	3002	1322	131	2	17	50% Dark damage reduction.	25	29	22	400	0	0	
147	Keeper of Flame	炎の番人	4	1	0	7	0	1	1031	331	83	0	16	10% all damage reduction.	11	20	6	150	0	0	
148	Keeper of Water	水の番人	4	2	0	7	0	1	1056	321	83	0	16	10% all damage reduction.	11	20	6	150	0	0	
149	Keeper of Forest	森の番人	4	3	0	7	0	1	1081	326	83	0	16	10% all damage reduction.	11	20	6	150	0	0	
150	Keeper of Light	光の番人	4	4	0	7	0	1	1106	311	83	0	16	10% all damage reduction.	11	20	6	150	0	0	
151	Keeper of Dark	闇の番人	4	5	0	7	0	1	1131	316	83	0	16	10% all damage reduction.	11	20	6	150	0	0	
152	Dragon Seed	ドラゴンシード	2	3	0	7	0	1	10	10	10	0	0	..	1	0	0	150	0	0	
153	Dragon Plant	ドラゴンプラント	3	3	0	7	0	1	50	50	50	0	0	..	1	0	0	150	0	0	
154	Dragon Flower	ドラゴンフラワー	4	3	0	7	0	1	100	100	100	0	0	..	1	0	0	150	0	0	
155	Rubylit	ルビリット	2	1	0	7	0	1	10	5	80	0	0	..	1	0	0	150	0	0	
156	Sapphilit	サファリット	2	2	0	7	0	1	10	5	80	0	0	..	1	0	0	150	0	0	
157	Emelit	エメリット	2	3	0	7	0	1	10	5	80	0	0	..	1	0	0	150	0	0	
158	Topalit	トパリット	2	4	0	7	0	1	10	5	80	0	0	..	1	0	0	150	0	0	
159	Amelit	アメリット	2	5	0	7	0	1	10	5	80	0	0	..	1	0	0	150	0	0	
160	Mythlit	ミスリット	5	5	0	7	0	1	80	40	200	0	0	..	1	29	6	150	0	0	
161	Red Evolution Mask	進化の赤仮面	1	1	0	7	0	1	10	50	1	0	0	..	1	0	0	150	0	0	
162	Blue Evolution Mask	進化の青仮面	1	2	0	7	0	1	10	50	1	0	0	..	1	0	0	150	0	0	
163	Green Evolution Mask	進化の緑仮面	1	3	0	7	0	1	10	50	1	0	0	..	1	0	0	150	0	0	
164	Yellow Evolution Mask	進化の黄仮面	1	4	0	7	0	1	10	50	1	0	0	..	1	0	0	150	0	0	
165	Purple Evolution Mask	進化の紫仮面	1	5	0	7	0	1	10	50	1	0	0	..	1	0	0	150	0	0	
166	Crimson Demon Mask	朱色の鬼神面	3	1	0	7	0	1	20	100	1	0	0	..	1	0	0	150	0	0	
167	Indigo Demon Mask	蒼色の鬼神面	3	2	0	7	0	1	20	100	1	0	0	..	1	0	0	150	0	0	
168	Azure Demon Mask	碧色の鬼神面	3	3	0	7	0	1	20	100	1	0	0	..	1	0	0	150	0	0	
169	Golden Demon Mask	黄金の鬼神面	3	4	0	7	0	1	20	100	1	0	0	..	1	0	0	150	0	0	
170	Violet Demon Mask	紫色の鬼神面	3	5	0	7	0	1	20	100	1	0	0	..	1	0	0	150	0	0	
171	Divine Carmine Mask	神化の紅面	5	1	0	7	0	1	40	200	1	0	0	..	1	0	0	150	0	0	
172	Divine Indigo Mask	神化の蒼面	5	2	0	7	0	1	40	200	1	0	0	..	1	0	0	150	0	0	
173	Divine Jade Mask	神化の碧面	5	3	0	7	0	1	40	200	1	0	0	..	1	0	0	150	0	0	
174	Divine Gold Mask	神化の金面	5	4	0	7	0	1	40	200	1	0	0	..	1	0	0	150	0	0	
175	Divine Onyx Mask	神化の黒面	5	5	0	7	0	1	40	200	1	0	0	..	1	0	0	150	0	0	
176	Metal Dragon	メタルドラゴン	3	5	0	8	0	1	100	20	5	0	0	..	1	0	0	150	0	0	
177	High Metal Dragon	ハイメタルドラゴン	4	5	0	8	0	1	250	30	10	0	0	..	1	12	6	150	0	0	
178	King Metal Dragon	キングメタルドラゴン	5	5	0	8	0	1	500	40	15	0	0	..	1	11	6	150	0	0	
179	Gold Dragon	ゴールドドラゴン	3	4	0	8	0	1	100	20	5	0	0	..	1	0	0	150	0	0	
180	High Gold Dragon	ハイゴールドドラゴン	4	4	0	8	0	1	250	30	10	0	0	..	1	12	6	150	0	0	
181	King Gold Dragon	キングゴールドドラゴン	5	4	0	8	0	1	500	40	15	0	0	..	1	11	6	150	0	0	
182	Poring	ポリン	3	1	0	8	0	1	777	405	210	0	17	50% Fire damage reduction.	10	17	8	150	0	0	
183	Marin	マーリン	3	2	0	8	0	1	756	412	207	0	17	50% Water damage reduction.	10	11	7	150	0	0	
184	Poporing	ポポリン	3	3	0	8	0	1	744	419	205	0	17	50% Wood damage reduction.	10	11	7	150	0	0	
185	Drops	ドロップス	3	4	0	8	0	1	732	408	201	0	17	50% Light damage reduction.	10	11	7	150	0	0	
186	Ghostring	ゴーストリング	3	5	0	8	0	1	722	411	203	0	17	50% Dark damage reduction.	10	15	6	150	0	0	
187	Zeus	ゼウス	6	4	0	6	0	50	1975	894	217	0	44	All attribute cards ATK x3 when HP is full.	40	35	18	400	0	0	
188	Awoken Zeus	覚醒ゼウス	7	4	0	6	0	99	3587	1422	330	3	44	All attribute cards ATK x3 when HP is full.	50	35	18	400	0	0	
189	Hera	ヘラ	6	5	0	6	0	50	1788	988	200	0	15	Increases time limit of orb movement by 3 seconds.	25	30	18	400	0	0	
190	Awoken Hera	覚醒ヘラ	7	5	0	9	6	99	3140	1646	308	3	15	Increases time limit of orb movement by 5 seconds.	30	30	18	400	0	0	
191	Pyro Devil	パイロデビル	2	1	0	5	0	15	240	394	125	0	0	..	5	30	26	150	0	0	
192	Pyro Demon	パイロデーモン	3	1	0	5	0	50	525	1097	164	0	0	..	8	30	26	150	0	0	
193	Frost Devil	フロストデビル	2	2	0	5	0	15	255	379	133	0	0	..	5	30	26	150	0	0	
194	Frost Demon	フロストデーモン	3	2	0	5	0	50	533	1085	169	0	0	..	8	30	26	150	0	0	
195	Taur Devil	タウロスデビル	2	3	0	5	0	15	248	390	133	0	0	..	5	30	26	150	0	0	
196	Taur Demon	タウロスデーモン	3	3	0	5	0	50	542	1110	165	0	0	..	8	30	26	150	0	0	
197	Harpie Devil	ハーピィデビル	2	4	0	5	0	15	233	375	133	0	0	..	5	30	26	150	0	0	
198	Harpie Demon	ハーピィデーモン	3	4	0	5	0	50	517	1073	167	0	0	..	8	30	26	150	0	0	
199	Blood Devil	ブラッドデビル	2	5	0	5	0	15	225	383	125	0	0	..	5	30	26	150	0	0	
200	Blood Demon	ブラッドデーモン	3	5	0	5	0	50	508	1079	163	0	0	..	8	30	26	150	0	0	
201	Empress of Serpents, Echidna	紅蓮の女帝・エキドナ	5	1	0	4	0	99	1277	949	650	3	12	Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	13	15	6	400	0	0	
202	Enchantress of the Sea, Siren	大海の歌姫・セイレーン	5	2	0	4	0	99	1311	785	691	3	13	Heal RCV x3 as HP after every orbs elimination.	13	11	7	400	0	0	
203	Mystical Forest Pixie, Alraune	大樹の精霊・アルラウネ	5	3	0	4	0	99	1224	819	717	3	13	Heal RCV x3 as HP after every orbs elimination.	13	20	11	400	0	0	
204	Messenger of God, Archangel	天空の使徒・エンジェル	5	4	0	4	0	99	1243	789	730	3	13	Heal RCV x3 as HP after every orbs elimination.	13	10	6	400	0	0	
