min_cooldown	effect	name	max_cooldown	
21	Reduce 35% of all enemies' HP. Ignore enemy element and defense. Reduces cooldown of other skills by 1 turn.	Charge Gravity-H	36	
7	Enhance Wood, Light & Heart orbs. +6% per orb. Reduces cooldown of other skills by 1 turn.	Charge of Aegis	22	
8	Healer type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	Cheering nya!	11	
8	Randomly spawn 4 Wood & Light orbs from non Wood & Light orbs. Reduces cooldown of other skills by 1 turn.	Child of the Meteor	13	
15	Inflict Light damage equal to ATK x40 to 1 enemy. Affected by enemy element and defense.	Choco Attack	15	
8	Recover RCV x15 HP.	Choco Cure	8	
8	50% damage reduction for 1 turn.	Choco Guard	8	
8	Inflict Fire damage equal to ATK x10-100 to all enemies. Affected by enemy element and defense.	Choco Meteor	8	
11	Change all orbs to Fire, Water & Light & Dark & Heart orbs. Reduces cooldown of other skills by 1 turn.	Choose whatever you'll regret the least	16	
8	Enhance Water & Light orbs. +6% per orb, up to +180% for full board. Recover RCV x20 HP. Bind recovery for 2 turns. Awoken Bind recovery for 2 turns.	Clear Water Star Astrology	15	
5	Deal 1000 Water damage to all enemies. Affected by enemy element and defense.	Cold Ball	10	
5	Inflict Water damage equal to ATK x3 to all enemies. Affected by enemy element and defense.	Cold Breath	10	
5	Enhance Water & Wood orbs. +6% per orb, up to +180% for full board.	Cold Wave	15	
6	Deal 99 damage to 1 enemy. Ignore enemy element and defense. Change Light orbs to Dark orbs.	Come back when you're stronger!	16	
10	Change all orbs to Water, Wood & Light orbs. Delay 1 turn to all enemies.	Conan Edogawa... Detective...	15	
8	Change Fire orbs to Dark orbs, Water orbs to Heart orbs. Enhance Dark orbs. +6% per orb, up to +180% for full board.	Confusing Strategy	13	
11	Change Heart orbs to Fire orbs. Fire attribute ATK x1.5 for 2 turns.	Corona Blast	17	
5	Change Wood orbs to Dark orbs.	Costume Changing Technique-Dark	10	
7	Delay 1 turn to all enemies. Change Heart, Jammer, Poison & Mortal Poison orbs to Wood orbs.	Crawling Chaos	37	
13	Change Light orbs to Fire orbs, Dark orbs to Jammer orbs. Reduces cooldown of other skills by 2 turns.	Create Routine	28	
15	Inflict Fire damage equal to ATK x50 to 1 enemy. Affected by enemy element and defense.	Crimson Bomb	30	
8	Change Water orbs to Fire orbs, Light orbs to Heart orbs. Enhance Fire orbs. +6% per orb, up to +180% for full board.	Crimson Cross Spear	13	
5	Inflict Fire damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense. 30% damage reduction for 1 turn.	Crimson Sea Dragon Broadside	18	
7	Randomly spawn 6 Heart orbs from non Fire & Heart orbs. Reduces cooldown of other skills by 1 turn.	Crimson Season	12	
10	Deal 15000 damage to 1 enemy. Ignore enemy element and defense.	Critical Rejection	20	
10	Recover RCV x10 HP. Bind recovery for 3 turns. All attribute cards RCV x1.5 for 7 turns.	Cure	20	
4	Deal 25000 Dark damage to all enemies. Affected by enemy element and defense.	Curse Ball	9	
3	Inflict Dark damage equal to ATK x5 to all enemies. Affected by enemy element and defense.	Curse Breath	10	
8	Counter 3x damage taken with Dark for 4 turns. Change Wood orbs to Dark orbs.	Curse of the Darkness	18	
7	Counter 3x damage taken with Fire for 4 turns. Change Wood orbs to Fire orbs.	Curse of the Flame	17	
7	Counter 3x damage taken with Water for 4 turns. Change Fire orbs to Water orbs.	Curse of the Ice	17	
8	Counter 3x damage taken with Light for 4 turns. Change Water orbs to Light orbs.	Curse of the Lightning	18	
7	Counter 3x damage taken with Wood for 4 turns. Change Fire orbs to Wood orbs.	Curse of the Tree	17	
4	Switch places with leader card. Use again to switch back.	Dance of the Great Tengu	16	
5	Deal 1000 Dark damage to all enemies. Affected by enemy element and defense.	Dark Ball	10	
12	Reduce 20% of all enemies' HP. Ignore enemy element and defense.	Dark Blaster	22	
5	Inflict Dark damage equal to ATK x3 to all enemies. Affected by enemy element and defense.	Dark Breath	10	
9	Reduces cooldown of other skills by 1 turn. Dark attribute ATK x1.5 for 3 turns.	Dark Enhancement	17	
13	Inflict Dark damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.	Dark Gift	13	
6	Change Light & Jammer orbs to Dark orbs. Change Heart, Poison & Mortal Poison orbs to Light orbs.	Dark&Light Orbs Change	13	
6	Change own attribute to Dark for 2 turns. Machine type cards ATK x1.5 for 1 turn.	Darkness Mode	16	
5	Change Light orbs to Dark orbs.	Dark Orb Change	9	
10	Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Recover 1000 HP.	Dark Seed Breath	20	
5	Increase skyfall chance of Dark & Poison orbs by 10% for 5 turn.	Dark Snow	15	
5	Change right-most column into Dark orbs. Enhance Dark orbs. +6% per orb.	Dark Spell	9	
10	Deal 35000 Dark damage to all Light enemies. Affected by enemy element and defense.	Dark Strike	15	
8	Dark attribute ATK x1.5 for 2 turns. Enhance Dark orbs. +6% per orb, up to +180% for full board.	Dark Terror Mist	17	
6	God & Balanced type cards ATK x2 for 1 turn. Deal 100000 Light damage to 1 enemy in exchange for reducing HP by 50%. Affected by enemy element and defense.	Dawn of the Celestial Ocean	10	
9	Change all orbs to Fire, Light & Heart orbs.	Daydream Flame Attack	14	
5	Enhance Dark & Water orbs. +6% per orb, up to +180% for full board.	Deadly Drive	15	
7	Bind recovery for 3 turns. Change Fire, Jammer, Poison & Mortal Poison orbs to Dark orbs.	Deadly Steel Spiral	12	
5	Enhance Wood & Dark orbs. +6% per orb, up to +180% for full board.	Deadrise	15	
7	Change Light orbs to Dark orbs. Reduces cooldown of other skills by 1 turn.	Deathgazer	22	
7	Change Fire, Jammer, Poison & Mortal Poison orbs to Light orbs. Increases time limit of orb movement by 5 seconds for 2 turns.	Dedicate your heart!	12	
10	Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Dragon type cards ATK x1.3 for 2 turns.	Deep Shadow Breath	20	
6	Randomly spawn 5 Heart orbs from non Water & Heart orbs.	Deep Spiral	11	
15	50% damage reduction for 3 turns.	Defensive Stance	20	
2	Inflict Dark damage equal to ATK x10 to all enemies. Affected by enemy element and defense.	Demon Slash	6	
10	Inflict Wood damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Wood attribute ATK x1.5 for 4 turns.	Demon Strike	15	
8	Change all orbs to Fire, Water & Wood & Dark orbs. Deal 100000 damage to all enemies. Ignore enemy element and defense.	Demon-Vanquishing Hymn	14	
16	Ignores enemy attribute damage absorb effects for 1 turn ( does not include combo shield, damage absorb shield, and damage void ). Randomly spawn 5 Fire orbs from non Fire orbs.	Destiny can burn, for all I care!	21	
15	Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense. Inflict Poison damage equal to ATK x10 to all enemies every turn. Ignore enemy element and defense.	Destroying Lance, Gungnir	20	
15	Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense. Inflict Poison damage equal to ATK x10 to all enemies every turn. Ignore enemy element and defense.	Destroying Lance, Gungnir X	19	
7	Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep. Enhance Fire & Heart orbs. +6% per orb, up to +180% for full board.	Devastating Third Eye	13	
15	Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. Reduces cooldown of other skills by 2 turns.	Devastating Wink!	19	
12	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Devil type cards ATK x3 for 1 turn.	Devilish Enhancement	17	
10	Change Light orbs to Jammer orbs. Delay 1 turn to all enemies.	Diabolical Conqueror	20	
6	Inflict Dark damage equal to ATK x50 to 1 enemy, and drain 15% of the damage you dealt. Affected by enemy element and defense. Enhance Water & Dark orbs. +6% per orb, up to +180% for full board.	Diabolic Lance, Gungnir	17	
6	Inflict Dark damage equal to ATK x50 to 1 enemy, and drain 15% of the damage you dealt. Affected by enemy element and defense. Enhance Water & Dark orbs. +6% per orb.	Diabolic Lance, Gungnir X	11	
10	Deal 10000 damage to 1 enemy. Ignore enemy element and defense. Balanced type cards ATK x2 for 2 turns.	Diamond Dust	14	
14	ATK x1 + ( 0.3x for every Two-Pronged Attack on the team ) for 2 turns.	Diamond of Fortitude	19	
15	Dark attribute ATK x5 for 1 turn. Reduces cooldown of other skills by 2 turns.	Diena Enhancement	15	
9	Change all orbs to Wood, Light & Heart orbs.	Dimensional Formation - Mountain God	14	
7	Change Water, Jammer, Poison & Mortal Poison orbs to Dark orbs. Reduces cooldown of other skills by 1 turn.	Dimension Dance - Purple Sky	12	
7	Randomly spawn 3 Water & Heart orbs from non Water & Heart orbs. Reduces cooldown of other skills by 1 turn.	Dimension Formation - Blue Life	12	
7	Randomly spawn 3 Wood & Heart orbs from non Wood & Heart orbs. Reduces cooldown of other skills by 1 turn.	Dimension Formation - Green Life	12	
7	Randomly spawn 3 Fire & Light orbs from non Fire & Light orbs. Reduces cooldown of other skills by 1 turn.	Dimension Formation - Scarlet Sun	12	
10	Dragon & God type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	Dimension Song - Holy Fang	15	
5	Enhance Dark orbs. +6% per orb, up to +180% for full board. 35% damage reduction for 1 turn.	Dispelling Breath	10	
15	Dark attribute ATK x2 for 3 turns. Reduces cooldown of other skills by 2 turns.	Divine Blessing	20	
